aid,gid,atype,created_by,aval,cval_id,alocn,aref,adate,modified_by,created_date,modified_date
185358,26900,26358,103,soybean,NULL,25662,1,19300701,NULL,2022-03-27 02:14:56,NULL
185359,26901,26358,103,soybean,NULL,25662,1,19300807,NULL,2022-03-27 02:14:56,NULL
185360,26902,26358,103,soybean,NULL,25662,1,19300807,NULL,2022-03-27 02:14:56,NULL
185361,26903,26358,103,soybean,NULL,25662,1,19300807,NULL,2022-03-27 02:14:56,NULL
185362,26904,26358,103,soybean,NULL,25662,1,19300912,NULL,2022-03-27 02:14:56,NULL
185363,26905,26358,103,soybean,NULL,25662,1,19300912,NULL,2022-03-27 02:14:56,NULL
185364,26906,26358,103,soybean,NULL,25662,1,19310114,NULL,2022-03-27 02:14:56,NULL
185365,26907,26358,103,soybean,NULL,25662,1,20080519,NULL,2022-03-27 02:14:56,NULL
185366,26908,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185367,26909,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185368,26910,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185369,26911,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185370,26912,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185371,26913,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185372,26914,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185373,26915,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185374,26916,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185375,26917,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185376,26918,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185377,26919,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185378,26920,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185379,26921,26358,103,soybean,NULL,25662,1,19320226,NULL,2022-03-27 02:14:56,NULL
185380,26922,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185381,26923,26358,103,soybean,NULL,25662,1,19310206,NULL,2022-03-27 02:14:56,NULL
185382,26924,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185383,26925,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185384,26926,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185385,26927,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185386,26928,26358,103,soybean,NULL,25662,1,19320206,NULL,2022-03-27 02:14:56,NULL
185387,26929,26358,103,soybean,NULL,25662,1,20101029,NULL,2022-03-27 02:14:56,NULL
185388,26930,26358,103,soybean,NULL,25662,1,20101029,NULL,2022-03-27 02:14:56,NULL
185389,26931,26358,103,soybean,NULL,25662,1,20101029,NULL,2022-03-27 02:14:56,NULL
185390,26932,26358,103,soybean,NULL,25662,1,20101029,NULL,2022-03-27 02:14:56,NULL
185391,26933,26358,103,soybean,NULL,25662,1,20101029,NULL,2022-03-27 02:14:56,NULL
185392,26934,26358,103,soybean,NULL,25662,1,20110329,NULL,2022-03-27 02:14:56,NULL
185393,26935,26358,103,soybean,NULL,25662,1,20110420,NULL,2022-03-27 02:14:56,NULL
185394,26936,26358,103,soybean,NULL,25662,1,20110519,NULL,2022-03-27 02:14:56,NULL
185395,26937,26358,103,soybean,NULL,25662,1,19430729,NULL,2022-03-27 02:14:56,NULL
185396,26938,26358,103,soybean,NULL,25662,1,19430729,NULL,2022-03-27 02:14:56,NULL
185397,26939,26358,103,soybean,NULL,25662,1,19431118,NULL,2022-03-27 02:14:56,NULL
185398,26940,26358,103,soybean,NULL,25662,1,19440322,NULL,2022-03-27 02:14:56,NULL
185399,26941,26358,103,soybean,NULL,25662,1,19440415,NULL,2022-03-27 02:14:56,NULL
185400,26942,26358,103,soybean,NULL,25662,1,19470000,NULL,2022-03-27 02:14:56,NULL
185401,26943,26358,103,soybean,NULL,25662,1,19450623,NULL,2022-03-27 02:14:56,NULL
185402,26944,26358,103,soybean,NULL,25662,1,19451008,NULL,2022-03-27 02:14:56,NULL
185403,26945,26358,103,soybean,NULL,25662,1,19460407,NULL,2022-03-27 02:14:56,NULL
185404,26946,26358,103,soybean,NULL,25662,1,20130625,NULL,2022-03-27 02:14:56,NULL
185405,26947,26358,103,soybean,NULL,25662,1,20130625,NULL,2022-03-27 02:14:56,NULL
185406,26948,26358,103,soybean,NULL,25662,1,20130905,NULL,2022-03-27 02:14:56,NULL
185407,26949,26358,103,soybean,NULL,25662,1,19460123,NULL,2022-03-27 02:14:56,NULL
185408,26950,26358,103,soybean,NULL,25662,1,19470219,NULL,2022-03-27 02:14:56,NULL
185409,26951,26358,103,soybean,NULL,25662,1,19720615,NULL,2022-03-27 02:14:56,NULL
185410,26952,26358,103,soybean,NULL,25662,1,19750000,NULL,2022-03-27 02:14:56,NULL
185411,26953,26358,103,soybean,NULL,25662,1,19750000,NULL,2022-03-27 02:14:56,NULL
185412,26954,26358,103,soybean,NULL,25662,1,19780427,NULL,2022-03-27 02:14:56,NULL
185413,26955,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185414,26956,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185415,26957,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185416,26958,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185417,26959,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185418,26960,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185419,26961,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185420,26962,26358,103,soybean,NULL,25662,1,19790800,NULL,2022-03-27 02:14:56,NULL
185421,26963,26358,103,soybean,NULL,25662,1,19820200,NULL,2022-03-27 02:14:56,NULL
185422,26964,26358,103,soybean,NULL,25662,1,19821100,NULL,2022-03-27 02:14:56,NULL
185423,26965,26358,103,soybean,NULL,25662,1,19820500,NULL,2022-03-27 02:14:56,NULL
185424,26966,26358,103,soybean,NULL,25662,1,19890403,NULL,2022-03-27 02:14:56,NULL
185425,26967,26358,103,soybean,NULL,25662,1,19900228,NULL,2022-03-27 02:14:56,NULL
185426,26968,26358,103,soybean,NULL,25662,1,19900400,NULL,2022-03-27 02:14:56,NULL
185427,26969,26358,103,soybean,NULL,25662,1,19850000,NULL,2022-03-27 02:14:56,NULL
185428,26970,26358,103,soybean,NULL,25662,1,19920504,NULL,2022-03-27 02:14:56,NULL
185429,26971,26358,103,soybean,NULL,25662,1,19920504,NULL,2022-03-27 02:14:56,NULL
185430,26972,26358,103,soybean,NULL,25662,1,19920504,NULL,2022-03-27 02:14:56,NULL
185431,26973,26358,103,soybean,NULL,25662,1,19930304,NULL,2022-03-27 02:14:56,NULL
185432,26974,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185433,26975,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185434,26976,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185435,26977,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185436,26978,26358,103,soybean,NULL,25662,1,19940201,NULL,2022-03-27 02:14:56,NULL
185437,26979,26358,103,soybean,NULL,25662,1,19940418,NULL,2022-03-27 02:14:56,NULL
185438,26980,26358,103,soybean,NULL,25662,1,19940419,NULL,2022-03-27 02:14:56,NULL
185439,26981,26358,103,soybean,NULL,25662,1,19940419,NULL,2022-03-27 02:14:56,NULL
185440,26982,26358,103,soybean,NULL,25662,1,19760400,NULL,2022-03-27 02:14:56,NULL
185441,26983,26358,103,soybean,NULL,25662,1,19940500,NULL,2022-03-27 02:14:56,NULL
185442,26984,26358,103,soybean,NULL,25662,1,19940500,NULL,2022-03-27 02:14:56,NULL
185443,26985,26358,103,soybean,NULL,25662,1,19950516,NULL,2022-03-27 02:14:56,NULL
185444,26986,26358,103,soybean,NULL,25662,1,19950619,NULL,2022-03-27 02:14:56,NULL
185445,26987,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185446,26988,26358,103,soybean,NULL,25662,1,19951212,NULL,2022-03-27 02:14:56,NULL
185447,26989,26358,103,soybean,NULL,25662,1,19131226,NULL,2022-03-27 02:14:56,NULL
185448,26990,26358,103,soybean,NULL,25662,1,19960501,NULL,2022-03-27 02:14:56,NULL
185449,26991,26358,103,soybean,NULL,25662,1,19960501,NULL,2022-03-27 02:14:56,NULL
185450,26992,26358,103,soybean,NULL,25662,1,19960501,NULL,2022-03-27 02:14:56,NULL
185451,26993,26358,103,soybean,NULL,25662,1,19960510,NULL,2022-03-27 02:14:56,NULL
185452,26994,26358,103,soybean,NULL,25662,1,19960510,NULL,2022-03-27 02:14:56,NULL
185453,26995,26358,103,soybean,NULL,25662,1,19080320,NULL,2022-03-27 02:14:56,NULL
185454,26996,26358,103,soybean,NULL,25662,1,19960400,NULL,2022-03-27 02:14:56,NULL
185455,26997,26358,103,soybean,NULL,25662,1,19960830,NULL,2022-03-27 02:14:56,NULL
185456,26998,26358,103,soybean,NULL,25662,1,19950900,NULL,2022-03-27 02:14:56,NULL
185457,26999,26358,103,soybean,NULL,25662,1,19390706,NULL,2022-03-27 02:14:56,NULL
185458,27000,26358,103,soybean,NULL,25662,1,19090210,NULL,2022-03-27 02:14:56,NULL
185459,27001,26358,103,soybean,NULL,25662,1,19680000,NULL,2022-03-27 02:14:56,NULL
185460,27002,26358,103,soybean,NULL,25662,1,19830000,NULL,2022-03-27 02:14:56,NULL
185461,27003,26358,103,soybean,NULL,25662,1,19640224,NULL,2022-03-27 02:14:56,NULL
185462,27004,26358,103,soybean,NULL,25662,1,19720503,NULL,2022-03-27 02:14:56,NULL
185463,27005,26358,103,soybean,NULL,25662,1,19720615,NULL,2022-03-27 02:14:56,NULL
185464,27006,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185465,27007,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185466,27008,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185467,27009,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185468,27010,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185469,27011,26358,103,soybean,NULL,25662,1,19930401,NULL,2022-03-27 02:14:56,NULL
185470,27012,26358,103,soybean,NULL,25662,1,19310400,NULL,2022-03-27 02:14:56,NULL
185471,27013,26358,103,soybean,NULL,25662,1,19780725,NULL,2022-03-27 02:14:56,NULL
185472,27014,26358,103,soybean,NULL,25662,1,19940500,NULL,2022-03-27 02:14:56,NULL
185473,27015,26358,103,soybean,NULL,25662,1,19940500,NULL,2022-03-27 02:14:56,NULL
185474,27016,26358,103,soybean,NULL,25662,1,19710414,NULL,2022-03-27 02:14:56,NULL
185475,27017,26358,103,soybean,NULL,25662,1,19750000,NULL,2022-03-27 02:14:56,NULL
185476,27018,26358,103,soybean,NULL,25662,1,19750000,NULL,2022-03-27 02:14:56,NULL
185477,27019,26358,103,soybean,NULL,25662,1,19270112,NULL,2022-03-27 02:14:56,NULL
185478,27020,26358,103,soybean,NULL,25662,1,19940419,NULL,2022-03-27 02:14:56,NULL
185479,27021,26358,103,soybean,NULL,25662,1,19210817,NULL,2022-03-27 02:14:56,NULL
185480,27022,26358,103,soybean,NULL,25662,1,19161127,NULL,2022-03-27 02:14:56,NULL
185481,27023,26358,103,soybean,NULL,25662,1,19950511,NULL,2022-03-27 02:14:56,NULL
185482,27024,26358,103,soybean,NULL,25662,1,19960501,NULL,2022-03-27 02:14:56,NULL
185483,27025,26358,103,soybean,NULL,25662,1,19960501,NULL,2022-03-27 02:14:56,NULL
185484,27026,26358,103,soybean,NULL,25662,1,19960501,NULL,2022-03-27 02:14:56,NULL
185485,27027,26358,103,soybean,NULL,25662,1,19960510,NULL,2022-03-27 02:14:56,NULL
185486,27028,26358,103,soybean,NULL,25662,1,19960510,NULL,2022-03-27 02:14:56,NULL
185487,27029,26358,103,soybean,NULL,25662,1,19960510,NULL,2022-03-27 02:14:56,NULL
185488,27030,26358,103,soybean,NULL,25662,1,19080418,NULL,2022-03-27 02:14:56,NULL
185489,27031,26358,103,soybean,NULL,25662,1,19960400,NULL,2022-03-27 02:14:56,NULL
185490,27032,26358,103,soybean,NULL,25662,1,19960806,NULL,2022-03-27 02:14:56,NULL
185491,27033,26358,103,soybean,NULL,25662,1,19960806,NULL,2022-03-27 02:14:56,NULL
185492,27034,26358,103,soybean,NULL,25662,1,19960830,NULL,2022-03-27 02:14:56,NULL
185493,27035,26358,103,soybean,NULL,25662,1,18991011,NULL,2022-03-27 02:14:56,NULL
185494,27036,26358,103,soybean,NULL,25662,1,19010503,NULL,2022-03-27 02:14:56,NULL
185495,27037,26358,103,soybean,NULL,25662,1,19970521,NULL,2022-03-27 02:14:56,NULL
185496,27038,26358,103,soybean,NULL,25662,1,19970611,NULL,2022-03-27 02:14:56,NULL
185497,27039,26358,103,soybean,NULL,25662,1,19980504,NULL,2022-03-27 02:14:56,NULL
185498,27040,26358,103,soybean,NULL,25662,1,19980504,NULL,2022-03-27 02:14:56,NULL
185499,27041,26358,103,soybean,NULL,25662,1,19980803,NULL,2022-03-27 02:14:56,NULL
185500,27042,26358,103,soybean,NULL,25662,1,19981119,NULL,2022-03-27 02:14:56,NULL
185501,27043,26358,103,soybean,NULL,25662,1,19981123,NULL,2022-03-27 02:14:56,NULL
185502,27044,26358,103,soybean,NULL,25662,1,19740131,NULL,2022-03-27 02:14:56,NULL
185503,27045,26358,103,soybean,NULL,25662,1,19990413,NULL,2022-03-27 02:14:56,NULL
185504,27046,26358,103,soybean,NULL,25662,1,19140217,NULL,2022-03-27 02:14:56,NULL
185505,27047,26358,103,soybean,NULL,25662,1,19140217,NULL,2022-03-27 02:14:56,NULL
185506,27048,26358,103,soybean,NULL,25662,1,19140217,NULL,2022-03-27 02:14:56,NULL
185507,27049,26358,103,soybean,NULL,25662,1,19140608,NULL,2022-03-27 02:14:56,NULL
185508,27050,26358,103,soybean,NULL,25662,1,20020610,NULL,2022-03-27 02:14:56,NULL
185509,27051,26358,103,soybean,NULL,25662,1,19080325,NULL,2022-03-27 02:14:56,NULL
185510,27052,26358,103,soybean,NULL,25662,1,20030130,NULL,2022-03-27 02:14:56,NULL
185511,27053,26358,103,soybean,NULL,25662,1,19110419,NULL,2022-03-27 02:14:56,NULL
185512,27054,26358,103,soybean,NULL,25662,1,19111130,NULL,2022-03-27 02:14:56,NULL
185513,27055,26358,103,soybean,NULL,25662,1,19111130,NULL,2022-03-27 02:14:56,NULL
185514,27056,26358,103,soybean,NULL,25662,1,19140128,NULL,2022-03-27 02:14:56,NULL
185515,27057,26358,103,soybean,NULL,25662,1,19211116,NULL,2022-03-27 02:14:56,NULL
185516,27058,26358,103,soybean,NULL,25662,1,19220228,NULL,2022-03-27 02:14:56,NULL
185517,27059,26358,103,soybean,NULL,25662,1,19240519,NULL,2022-03-27 02:14:56,NULL
185518,27060,26358,103,soybean,NULL,25662,1,19240602,NULL,2022-03-27 02:14:56,NULL
185519,27061,26358,103,soybean,NULL,25662,1,19240612,NULL,2022-03-27 02:14:56,NULL
185520,27062,26358,103,soybean,NULL,25662,1,19240625,NULL,2022-03-27 02:14:56,NULL
185521,27063,26358,103,soybean,NULL,25662,1,20040928,NULL,2022-03-27 02:14:56,NULL
185522,27064,26358,103,soybean,NULL,25662,1,19250311,NULL,2022-03-27 02:14:56,NULL
185523,27065,26358,103,soybean,NULL,25662,1,19250325,NULL,2022-03-27 02:14:56,NULL
185524,27066,26358,103,soybean,NULL,25662,1,19250325,NULL,2022-03-27 02:14:56,NULL
185525,27067,26358,103,soybean,NULL,25662,1,20050323,NULL,2022-03-27 02:14:56,NULL
185526,27068,26358,103,soybean,NULL,25662,1,19510523,NULL,2022-03-27 02:14:56,NULL
185527,27069,26358,103,soybean,NULL,25662,1,20050628,NULL,2022-03-27 02:14:56,NULL
185528,27070,26358,103,soybean,NULL,25662,1,19650614,NULL,2022-03-27 02:14:56,NULL
185529,27071,26358,103,soybean,NULL,25662,1,19250723,NULL,2022-03-27 02:14:56,NULL
185530,27072,26358,103,soybean,NULL,25662,1,19251127,NULL,2022-03-27 02:14:56,NULL
185531,27073,26358,103,soybean,NULL,25662,1,19251127,NULL,2022-03-27 02:14:56,NULL
185532,27074,26358,103,soybean,NULL,25662,1,19251127,NULL,2022-03-27 02:14:56,NULL
185533,27075,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185534,27076,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185535,27077,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185536,27078,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185537,27079,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185538,27080,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185539,27081,26358,103,soybean,NULL,25662,1,19260900,NULL,2022-03-27 02:14:56,NULL
185540,27082,26358,103,soybean,NULL,25662,1,19261200,NULL,2022-03-27 02:14:56,NULL
185541,27083,26358,103,soybean,NULL,25662,1,19261100,NULL,2022-03-27 02:14:56,NULL
185542,27084,26358,103,soybean,NULL,25662,1,19261100,NULL,2022-03-27 02:14:56,NULL
185543,27085,26358,103,soybean,NULL,25662,1,19261100,NULL,2022-03-27 02:14:56,NULL
185544,27086,26358,103,soybean,NULL,25662,1,19261200,NULL,2022-03-27 02:14:56,NULL
185545,27087,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185546,27088,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185547,27089,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185548,27090,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185549,27091,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185550,27092,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185551,27093,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185552,27094,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185553,27095,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185554,27096,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185555,27097,26358,103,soybean,NULL,25662,1,19290527,NULL,2022-03-27 02:14:56,NULL
185556,27098,26358,103,soybean,NULL,25662,1,19291209,NULL,2022-03-27 02:14:56,NULL
185557,27099,26358,103,soybean,NULL,25662,1,19291223,NULL,2022-03-27 02:14:56,NULL
185558,27100,26358,103,soybean,NULL,25662,1,19300106,NULL,2022-03-27 02:14:56,NULL
185559,27101,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185560,27102,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185561,27103,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185562,27104,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185563,27105,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185564,27106,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185565,27107,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185566,27108,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185567,27109,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185568,27110,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185569,27111,26358,103,soybean,NULL,25662,1,19300220,NULL,2022-03-27 02:14:56,NULL
185570,27112,26358,103,soybean,NULL,25662,1,19300226,NULL,2022-03-27 02:14:56,NULL
185571,27113,26358,103,soybean,NULL,25662,1,19300226,NULL,2022-03-27 02:14:56,NULL
185572,27114,26358,103,soybean,NULL,25662,1,19300317,NULL,2022-03-27 02:14:56,NULL
185573,27115,26358,103,soybean,NULL,25662,1,19300317,NULL,2022-03-27 02:14:56,NULL
185574,27116,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185575,27117,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185576,27118,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185577,27119,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185578,27120,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185579,27121,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185580,27122,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185581,27123,26358,103,soybean,NULL,25662,1,19300506,NULL,2022-03-27 02:14:56,NULL
185582,27124,26358,103,soybean,NULL,25662,1,19300506,NULL,2022-03-27 02:14:56,NULL
185583,27125,26358,103,soybean,NULL,25662,1,19300506,NULL,2022-03-27 02:14:56,NULL
185584,27126,26358,103,soybean,NULL,25662,1,19300506,NULL,2022-03-27 02:14:56,NULL
185585,27127,26358,103,soybean,NULL,25662,1,19300904,NULL,2022-03-27 02:14:56,NULL
185586,27128,26358,103,soybean,NULL,25662,1,19301121,NULL,2022-03-27 02:14:56,NULL
185587,27129,26358,103,soybean,NULL,25662,1,19301121,NULL,2022-03-27 02:14:56,NULL
185588,27130,26358,103,soybean,NULL,25662,1,19301121,NULL,2022-03-27 02:14:56,NULL
185589,27131,26358,103,soybean,NULL,25662,1,19310114,NULL,2022-03-27 02:14:56,NULL
185590,27132,26358,103,soybean,NULL,25662,1,19310114,NULL,2022-03-27 02:14:56,NULL
185591,27133,26358,103,soybean,NULL,25662,1,20080519,NULL,2022-03-27 02:14:56,NULL
185592,27134,26358,103,soybean,NULL,25662,1,19310129,NULL,2022-03-27 02:14:56,NULL
185593,27135,26358,103,soybean,NULL,25662,1,19310410,NULL,2022-03-27 02:14:56,NULL
185594,27136,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185595,27137,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185596,27138,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185597,27139,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185598,27140,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185599,27141,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185600,27142,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185601,27143,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
185602,27144,26358,103,soybean,NULL,25662,1,19320126,NULL,2022-03-27 02:14:56,NULL
