ID,AUTHOR,FILENAME,DATEEXECUTED,ORDEREXECUTED,EXECTYPE,MD5SUM,DESCRIPTION,COMMENTS,TAG,LIQUIBASE,CONTEXTS,LABELS,DEPLOYMENT_ID
5,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-09-22 21:27:22,25,EXECUTED,8:70ef35b8bd7b74392afd61d3738d35a3,addForeignKeyConstraint baseTableName=plant_samples,constraintName=fk_plot_id,referencedTableName=nd_experiment,,NULL,3.5.0,NULL,NULL,4579642468
6,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-09-22 21:27:22,26,EXECUTED,8:3b9a5e7fb1cb4cb091888bcd8b53ac74,addUniqueConstraint constraintName=uc_plot_plant,tableName=plant_samples,,NULL,3.5.0,NULL,NULL,4579642468
1,akhilm,classpath:liquibase/crop_changelog/4_0_0_BETA_15.xml,2016-09-22 21:27:23,27,EXECUTED,8:1cb19a69cd292c13c75d33c08fcaee4e,createIndex indexName=idx_listnms_projectid,tableName=listnms,,NULL,3.5.0,NULL,NULL,4579642468
beta16-1,darla,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:20,28,EXECUTED,NULL,sql,,NULL,3.5.0,NULL,NULL,1017940848
beta16-2,darla,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:20,29,EXECUTED,8:81f41cc8a9be0777c36079efbb9b9ca9,addUniqueConstraint constraintName=persons_uc1,tableName=persons,,NULL,3.5.0,NULL,NULL,1017940848
beta16-3,aldrinb,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,30,EXECUTED,8:be2b3c39cfb2a1b74d678493aafce742,sql,,NULL,3.5.0,NULL,NULL,1017940848
beta16-4,abhishekptl,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,31,EXECUTED,8:210cf8a5b04b60f4e6dc5e1d0669d02c,sql,New cvterm STATUS for column header,NULL,3.5.0,NULL,NULL,1017940848
beta16-5,abhishekptl,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,32,EXECUTED,8:e0193633aaa88b25190c7068c4c21e6b,sql,Updating cvterm AVAILABLE_INVENTORY for column header name change,NULL,3.5.0,NULL,NULL,1017940848
beta16-6,abhishekptl,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,33,EXECUTED,8:0f3ac6c5601871909faffabfc255a8f0,sql,Updating cvterm TOTAL_INVENTORY for column header name change,NULL,3.5.0,NULL,NULL,1017940848
beta16-7,abhishekptl,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,34,EXECUTED,8:d2648cd2d868ea6dd074377270295830,sql,Updating cvterm SEED_RESERVATION for column header name change,NULL,3.5.0,NULL,NULL,1017940848
beta16-8,abhishekptl,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,35,EXECUTED,8:c89469b55363ccf79f3567fb86e9efee,sql,New cvterm ACTUAL BALANCE for column header,NULL,3.5.0,NULL,NULL,1017940848
beta16-9,abhishekptl,classpath:liquibase/crop_changelog/4_0_0_BETA_16.xml,2016-12-06 09:52:23,36,EXECUTED,8:95b79fb5d4b356a92f59c5eaeae57b10,update tableName=ims_transaction,All existing reserved transactions needs to consider as commit after introducing new commit status=1,NULL,3.5.0,NULL,NULL,1017940848
v5-beta01-1,abhishekptl,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,37,EXECUTED,8:0324585526574ae296f9cb1ff3ea21c1,sql,Updating cvterm WITHDRAWAL for column header name change,NULL,3.5.0,NULL,NULL,7361729332
v5-beta01-2,abhishekptl,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,38,EXECUTED,8:2f6596461429d4e1b1bce364c07e87d5,sql,New cvterm RESERVATION for column header,NULL,3.5.0,NULL,NULL,7361729332
v5-beta01-3,abhishekptl,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,39,EXECUTED,8:83e2415bce80a32133405a18ddd28c43,sql,New cvterm LOT STATUS for column header,NULL,3.5.0,NULL,NULL,7361729332
v5-beta01-4,mderamos,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,40,EXECUTED,8:decaa74e24c973d92aa2a4f45b3e0194,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta01-5,mderamos,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,41,EXECUTED,8:e37db781482fe7e501d7a9b8fd241a9b,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta01-4,clarysabel,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,42,EXECUTED,8:8acd54e8a6f98c54bbe5188e8f82b1d0,modifyDataType columnName=duplicate_notes,tableName=listdata_project,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta01-5,clarysabel,classpath:liquibase/crop_changelog/5_0_0_BETA_01.xml,2017-06-13 13:48:49,43,EXECUTED,8:cc7dd25712507762626fdece146ac744,modifyDataType columnName=bulk_with,tableName=ims_transaction,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta02-1,mderamos,classpath:liquibase/crop_changelog/5_0_0_BETA_02.xml,2017-06-13 13:48:49,44,EXECUTED,8:3a6225f1714066a0c4eec3a8545749da,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta02-2,vanina,classpath:liquibase/crop_changelog/5_0_0_BETA_02.xml,2017-06-13 13:48:49,45,EXECUTED,8:440fb7650bd2c3c1d22befc98db590f4,sql,Add three new list types to the common scripts.,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-1,nahuel,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,46,EXECUTED,8:b606c033668ce9ff9649c8f5ed358604,addColumn tableName=nd_experiment,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-2,clarysabel,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,47,EXECUTED,8:3e560f29ed4e4f87767988afa8c6ec06,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-3,nahuel,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,48,MARK_RAN,8:3693339f96ce1e48cb1900b26456932d,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-4,nahuel,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,49,EXECUTED,8:3a83e489b3b13d225036f7d376136083,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-5,nahuel,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,50,EXECUTED,8:71395464e0838e69cc14976998892ec1,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-6,nahuel,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,51,EXECUTED,8:3693339f96ce1e48cb1900b26456932d,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-7,vanina,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,52,MARK_RAN,8:b17afec7f67a176c9b805904975a515e,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-8,vanina,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,53,EXECUTED,8:40225e715db726faf1501f3d2fef136f,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-9,vanina,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,54,EXECUTED,8:c9e4a84296acd8787deeefea98b8cdc8,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5-beta03-10,vanina,classpath:liquibase/crop_changelog/5_0_0_BETA_03.xml,2017-06-13 13:48:50,55,EXECUTED,8:b17afec7f67a176c9b805904975a515e,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.0-1,cuenyad,classpath:liquibase/crop_changelog/4_4_0.xml,2017-06-13 13:48:52,56,EXECUTED,8:e98f4bf3579960c513181b4a47037f81,addColumn tableName=germplsm,Add deleted column,NULL,3.5.0,NULL,NULL,7361729332
v4.4.0-2,cuenyad,classpath:liquibase/crop_changelog/4_4_0.xml,2017-06-13 13:48:52,57,MARK_RAN,8:2916a7c33ea34c11b012c647933ad3ea,sql,Set deleted = 1 where the germplsm meet this condition grplce = gid,NULL,3.5.0,NULL,NULL,7361729332
v4.4.0-3,vanina,classpath:liquibase/crop_changelog/4_4_0.xml,2017-06-13 13:48:52,58,EXECUTED,8:c2ac897391cf9158ee9a1cb10feb4fbe,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.0-4,vanina,classpath:liquibase/crop_changelog/4_4_0.xml,2017-06-13 13:48:52,59,EXECUTED,8:14710f444833ed76e47421104cc7536b,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.1-1,vanina,classpath:liquibase/crop_changelog/4_4_1.xml,2017-06-13 13:48:52,60,MARK_RAN,8:9d0df518f70a2a42b14204bb07771f80,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.1-2,vanina,classpath:liquibase/crop_changelog/4_4_1.xml,2017-06-13 13:48:52,61,EXECUTED,8:b46407d62df194c649f8bd306657f8a2,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.1-3,vanina,classpath:liquibase/crop_changelog/4_4_1.xml,2017-06-13 13:48:52,62,EXECUTED,8:766687edf38156268fd65e868b8c0d94,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.1-4,vanina,classpath:liquibase/crop_changelog/4_4_1.xml,2017-06-13 13:48:52,63,EXECUTED,8:9d0df518f70a2a42b14204bb07771f80,sql,,NULL,3.5.0,NULL,NULL,7361729332
v4.4.1-5,nahuel,classpath:liquibase/crop_changelog/4_4_1.xml,2017-06-13 13:48:52,64,MARK_RAN,8:ad1f9ad73a09bfc87d0251433d33f0ae,sql,,NULL,3.5.0,NULL,NULL,7361729332
v5.1-1,darla,classpath:liquibase/crop_changelog/5_1_0.xml,2018-01-30 23:51:02,65,EXECUTED,8:83e0d1fa96abfc370e48dddf1c883ce5,sql,,NULL,3.5.0,NULL,NULL,7356262457
v5.1-2,darla,classpath:liquibase/crop_changelog/5_1_0.xml,2018-01-30 23:51:02,66,MARK_RAN,8:f6084cc89c051bd0863279740dcfe70b,sql,,NULL,3.5.0,NULL,NULL,7356262457
v5.1-3,darla,classpath:liquibase/crop_changelog/5_1_0.xml,2018-01-30 23:51:02,67,MARK_RAN,8:7692399bc7b1062fa70bc89a76a7ac13,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-2,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,68,EXECUTED,8:00408168edf965eff291b7c5e346c744,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-3,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,69,EXECUTED,8:77bfa3d8ff7e0642bea264242ea089b5,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-4,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,70,EXECUTED,8:dc9f899b5ad41ef37bc0e5bf56a1fdf9,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-5,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,71,EXECUTED,8:236b4b52405d278822a07aeb0e4eaffc,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-6,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,72,EXECUTED,8:9bf10c4f88043357fc3130beafe7b73d,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-7,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,73,EXECUTED,8:8cf14a94005db08188d7b504c8481de4,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-8,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,74,EXECUTED,8:bf42f354c87a6d9e77ee7c7893913e24,addUniqueConstraint constraintName=plant_no_exp,tableName=plant,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-9,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,75,EXECUTED,8:d41cb65502346b3e83edad468beb7828,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.2-10,vanina,classpath:liquibase/crop_changelog/6_2_0.xml,2018-01-30 23:51:03,76,EXECUTED,8:6004edd38bcb94afa74d8b1690adc790,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-1,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:03,77,EXECUTED,8:9e7efe17a675d3f56c9ea1aab7c835a9,addColumn tableName=sample_list,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-2,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:03,78,EXECUTED,8:c1a2e4e0d97adee032423ee1c4483064,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-3,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:03,79,EXECUTED,8:7875b0f7be3a0639cef7cad03a3da8c5,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-4,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:03,80,EXECUTED,8:c9812a57921d2d14b24c19482e7565c8,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-5,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,81,EXECUTED,8:481f397b7c4fafbe82b5a6b9d06a30b2,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-6,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,82,MARK_RAN,8:fd91e03402497bca4d892ecae82929ea,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-7,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,83,EXECUTED,8:06ac4a4a68a96051a80b893d2b9519d8,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-8,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,84,MARK_RAN,8:5ec3ec045d635e843590075d394fdbb2,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-9,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,85,EXECUTED,8:7b1e67a05b306c289d364f1594c1172f,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-10,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,86,MARK_RAN,8:4730bc46f2ca9b5afcc2c1d473007761,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-11,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,87,EXECUTED,8:39f5544bfcfe9c0dae6075f006c2b287,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.3-12,vanina,classpath:liquibase/crop_changelog/6_3_0.xml,2018-01-30 23:51:04,88,MARK_RAN,8:47c1df8aaa353240584853b3512b9101,sql,,NULL,3.5.0,NULL,NULL,7356262457
v6.4.2-1,mderamos,classpath:liquibase/crop_changelog/6_4_2.xml,2018-01-30 23:51:04,89,EXECUTED,8:b03e3d2a430cde7021d847227ed1cf09,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.1-1,vanina,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:04,90,EXECUTED,8:596d4e14d5f4ef2abf2c314066b1bb95,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-1,nahuel,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:04,91,EXECUTED,8:595e329e04d36ab89e89c1766d108cf5,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-2,nahuel,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:04,92,EXECUTED,8:7e0c4894529cb322a8fc23fa8261f7e3,dropView viewName=project_variable_details,,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-3,nahuel,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:04,93,EXECUTED,8:ece9342e26e31804363a66a6d9d0879b,addColumn tableName=project,,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-4,nahuel,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:05,94,EXECUTED,8:7224c4e2c5af39becb7e54c33264c860,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-5,cuenyad,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:05,95,EXECUTED,8:4355dc1d2880e049e31210b8066ed38d,addColumn tableName=sample_list,Add program_uuid column,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-6,cuenyad,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:05,96,MARK_RAN,8:8402a95491ab28c51b0ff09cc1d6f94f,sql,Updating sample_list adding program_uuid corresponding to lists existing,NULL,3.5.0,NULL,NULL,7356262457
v7.1.0-7,cuenyad,classpath:liquibase/crop_changelog/7_1_0.xml,2018-01-30 23:51:05,97,EXECUTED,8:86b5d5cd7d5f88b8232f34733cb72cf1,sql,update list_name_UNIQUE TABLE_CONSTRAINTS,NULL,3.5.0,NULL,NULL,7356262457
v7.2.0-1,vanina,classpath:liquibase/crop_changelog/7_2_0.xml,2018-01-30 23:51:05,98,EXECUTED,8:378b7da40779092ef1707a1a4db7cf37,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.2.0-2,vanina,classpath:liquibase/crop_changelog/7_2_0.xml,2018-01-30 23:51:05,99,EXECUTED,8:ce62492fba581a29fe898314bdd19053,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.2.0-3,vanina,classpath:liquibase/crop_changelog/7_2_0.xml,2018-01-30 23:51:05,100,EXECUTED,8:30adac866787f9fec388fec2d86f75a7,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.2.0-1,clarysabel,classpath:liquibase/crop_changelog/7_2_0.xml,2018-01-30 23:51:06,101,EXECUTED,8:80972598e5c9ef2aed3d30d3cdebeb2e,sql,,NULL,3.5.0,NULL,NULL,7356262457
v7.3.0-1,vanina,classpath:liquibase/crop_changelog/7_3_0.xml,2018-01-30 23:51:06,102,EXECUTED,8:875d4c0304f0a1ee56ebdfbfce3bd571,sql,,NULL,3.5.0,NULL,NULL,7356262457
v8.0.0-1,cuenyad,classpath:liquibase/crop_changelog/8_0_0.xml,2018-01-30 23:51:06,103,EXECUTED,8:fbb3544025a342c62f337cb0d1469345,sql,,NULL,3.5.0,NULL,NULL,7356262457
v8.0.0-2,cuenyad,classpath:liquibase/crop_changelog/8_0_0.xml,2018-01-30 23:51:06,104,EXECUTED,8:3a5814ab0ca7175981fcdbe79691e7f7,sql,,NULL,3.5.0,NULL,NULL,7356262457
v8.0.0-3,cuenyad,classpath:liquibase/crop_changelog/8_0_0.xml,2018-01-30 23:51:06,105,EXECUTED,8:00ce86475d1e1cd42b6cf1985d1fefc8,sql,update list_name_UNIQUE TABLE_CONSTRAINTS ADDING program_uuid,NULL,3.5.0,NULL,NULL,7356262457
v8.0.0-1,nahuel,classpath:liquibase/crop_changelog/8_0_0.xml,2018-01-30 23:51:06,106,EXECUTED,8:64a8fb28610b01e9afe3c55938de4ae3,sql,BMS-4468 (7_1_0.xml
v8.1.0-1,vanina,classpath:liquibase/crop_changelog/8_1_0.xml,2018-06-06 02:37:10,107,MARK_RAN,8:8cb29da5a0babb92d28ac8ab129b7c69,sql,,NULL,3.5.0,NULL,NULL,8241830245
v8.1.0-2,clarysabel,classpath:liquibase/crop_changelog/8_1_0.xml,2018-06-06 02:37:10,108,EXECUTED,8:7ff755477cc2880dd512db81f35bbbee,sql,,NULL,3.5.0,NULL,NULL,8241830245
v8.1.0-2,darla,classpath:liquibase/crop_changelog/8_1_0.xml,2018-06-06 02:37:10,109,EXECUTED,8:9a0992282e33a1b6a4924ce58903de67,dropPrimaryKey tableName=key_sequence_register,,NULL,3.5.0,NULL,NULL,8241830245
v8.1.0-3,darla,classpath:liquibase/crop_changelog/8_1_0.xml,2018-06-06 02:37:10,110,EXECUTED,8:03747120d5b30e5531fe8fdc314a97ce,dropIndex indexName=key_prefix_unique,tableName=key_sequence_register,,NULL,3.5.0,NULL,NULL,8241830245
v8.1.0-4,darla,classpath:liquibase/crop_changelog/8_1_0.xml,2018-06-06 02:37:10,111,EXECUTED,8:f4d6acee98d04ec1026a1875c1038194,sql,,NULL,3.5.0,NULL,NULL,8241830245
v8.1.1-1,darla,classpath:liquibase/crop_changelog/8_1_1.xml,2018-06-06 02:37:10,112,EXECUTED,8:89eb91fb08aabc7268aa54c1af9eeb8c,dropTable tableName=schema_version,,NULL,3.5.0,NULL,NULL,8241830245
v8.3.0-1,vanina,classpath:liquibase/crop_changelog/8_3_0.xml,2018-06-06 02:37:10,113,EXECUTED,8:9144f60690818045622a87a46e2552bc,sql,,NULL,3.5.0,NULL,NULL,8241830245
v8.3.0-2,vanina,classpath:liquibase/crop_changelog/8_3_0.xml,2018-06-06 02:37:11,114,EXECUTED,8:3b1274992af9f1658297cc05b80c21e6,sql,,NULL,3.5.0,NULL,NULL,8241830245
v8.3.0-3,vanina,classpath:liquibase/crop_changelog/8_3_0.xml,2018-06-06 02:37:11,115,EXECUTED,8:197565c2ee7356fe4ca7d5f389527118,sql,,NULL,3.5.0,NULL,NULL,8241830245
v8.3.0-4,vanina,classpath:liquibase/crop_changelog/8_3_0.xml,2018-06-06 02:37:11,116,EXECUTED,8:e8028d8a1ba860da25c17d6bb47f128f,sql,,NULL,3.5.0,NULL,NULL,8241830245
