cvterm_id,cv_id,name,definition,dbxref_id,is_obsolete,is_relationshiptype,is_system
1420,1000,Order,Specifies the order property for the valid values of a categorical variable,NULL,0,0,0
1430,1011,Yield component,Yield component trait,NULL,0,0,0
1440,1011,Phenology,Phenological trait,NULL,0,0,0
1450,1011,Post harvest,Post harvest trait,NULL,0,0,0
1460,1011,Breeding methods,Breeding Method Class,NULL,0,0,0
1470,1011,Generative breeding methods,Breeding methods which increasde the genetic variability of a strain,NULL,0,0,0
1480,1011,Derivative breeding methods,Breeding methods which reduce or focus genetic variability of a strain,NULL,0,0,0
1490,1011,Bulking breeding methods,Derivative breeding methods which produce a single strain from a source,NULL,0,0,0
1510,1011,Non-bulking breeding methods,Derivative breeding methods which may produce strains from a source,NULL,0,0,0
1520,1011,Maintenance methods,Germplasm management methods which maintain the genetic variability of a strain,NULL,0,0,0
1530,1011,Seed increase methods,Methods designed to increase seed stocks of a strain,NULL,0,0,0
1540,1011,Seed acquisation methods,Methods used to acquire samples of germplasm,NULL,0,0,0
1550,1011,Cultivar formation methods,Methods indicating strains that have been produced for cultivation on farms,NULL,0,0,0
1560,1011,Crossing methods,Methods involving directed pollination,NULL,0,0,0
1570,1011,Mutation methods,Methods exploiting natural or induced mutation to increase genetic variability,NULL,0,0,0
1580,1011,Cytogenetic manipulation,Methods using cytogenetics to manage genetic variability,NULL,0,0,0
1590,1011,Genetic Modification,Genetic engineering methods used to increase genetic variation,NULL,0,0,0
1600,1000,Statistical variables,Variables which contain results of statistical analysis,NULL,0,0,0
1610,1000,Treatment mean,Trait means for each treatment after anamysis,NULL,0,0,0
1620,1000,Summary statistic,Summary statistics for traits over all values in an experiemnt,NULL,0,0,0
1630,1000,UI Label,Label name for an item in the user interface,NULL,0,0,0
1700,1000,LOTS,Available inventory,NULL,0,0,0
1701,1000,BREEDING METHOD NAME,Breeding method name,NULL,0,0,0
1702,1000,BREEDING METHOD ABBREVIATION,Breeding method abbreviation,NULL,0,0,0
1703,1000,BREEDING METHOD NUMBER,Breeding method number,NULL,0,0,0
1704,1000,BREEDING METHOD GROUP,Breeding method group,NULL,0,0,0
1705,1000,FEMALE PEDIGREE,Pedigree of female parent,NULL,0,0,0
1706,1000,CROSS-FEMALE PREFERRED NAME,Cross-female preferred name,NULL,0,0,0
1707,1000,MALE PEDIGREE,Pedigree of male parent,NULL,0,0,0
1708,1000,CROSS-MALE PREFERRED NAME,Cross-male preferred name,NULL,0,0,0
1709,1000,GERMPLASM DATE,Germplasm Date,NULL,0,0,0
1711,1000,PREFERRED ID,Preferred ID,NULL,0,0,0
1712,1000,PREFERRED NAME,Preferred Name,NULL,0,0,0
1713,1000,TOTAL WITHDRAWALS,Seed reservation,NULL,0,0,0
1714,1000,COMMENT,Comment on inventory,NULL,0,0,0
1715,1000,LOT_ID,LOT Identification,NULL,0,0,0
1716,1000,NEW RES,Newly reserved inventory,NULL,0,0,0
1717,1000,RES,Reserved inventory,NULL,0,0,0
1718,1000,AVAILABLE,Total inventory,NULL,0,0,0
1719,1000,UNITS,Inventory units,NULL,0,0,0
1720,1000,LOCATION,Lot location,NULL,0,0,0
1721,1000,SCALE,Inventory Scale,NULL,0,0,0
1722,1000,AMOUNT,Inventory Amount,NULL,0,0,0
1723,1000,FEMALE PARENT,Name of Female Parent,NULL,0,0,0
1724,1000,MALE PARENT,Name of Male Parent,NULL,0,0,0
1725,1000,FEMALE PARENT GID,GID of Female Parent,NULL,0,0,0
1726,1000,MALE PARENT GID,GID of Male Parent,NULL,0,0,0
1727,1000,STOCKID,ID of an inventory deposit,NULL,0,0,0
1728,1000,DUPLICATE,Duplicate notes,NULL,0,0,0
1729,1000,BULK WITH,Stock IDs of stock list for bulking,NULL,0,0,0
1730,1000,BULK COMPL?,Is bulking completed?,NULL,0,0,0
1731,1000,GROUP ID,Group ID of a germplasm,NULL,0,0,0
1732,1000,FEMALE PLOT,Female Plot Number,NULL,0,0,0
1733,1000,MALE PLOT,Male Plot Number,NULL,0,0,0
1734,1000,CROSSING DATE,Crossing date,NULL,0,0,0
1735,1000,MALE NURSERY,Male Nursery,NULL,0,0,0
1736,1000,STATUS,Status of the reserved or committed inventory transactions,NULL,0,0,0
1737,1000,ACTUAL BALANCE,Total of all unreserved seed,plus reserved seed that is not yet committed,NULL,0,0,0
1738,1000,RESERVATION,Total of single permitted open reservation,NULL,0,0,0
1739,1000,LOT STATUS,Lot status active (open
1800,1000,variable type,Variable type to determine possible variable usage,NULL,0,0,0
1801,1041,Analysis,Variable to be used only in analysis (for example derived variables
1802,1041,Environment Condition,Observations made of conditions in a study,NULL,0,0,0
1804,1041,Germplasm Descriptor,Information to be recorded about each germplasm in a study,NULL,0,0,0
1805,1041,Study Detail,Administrative details to be tracked per study,NULL,0,0,0
1806,1041,Environment Detail,Administrative details to be tracked per environment,NULL,0,0,0
1807,1041,Selection Method,How material is chosen for advancing to the next generation,NULL,0,0,0
1808,1041,Trait,Characteristics of a germplasm to be recorded during a study,NULL,0,0,0
1809,1041,Treatment Factor,Treatments to be applied to members of a trial,NULL,0,0,0
1810,1041,Experimental Design,Design to be applied to experiments,NULL,0,0,0
1811,1041,Analysis Summary,Summary Variable to be used only in analysis,NULL,0,0,0
1812,1041,Observation Unit,Variables used to enumerate the observation units,NULL,0,0,0
1813,1041,Germplasm Passport,Basic information used for the general management of the accession,NULL,0,0,0
1814,1041,Germplasm Attribute,Variables which assessment may also require complex biochemical or molecular characterization methods,NULL,0,0,0
1815,1041,Entry Detail,Variables that describes list entries,NULL,0,0,0
1900,1000,has analysis variable,Relationship between a standard variable and a derived analysis variable,NULL,0,1,0
1901,1030,Person id,Person scale to hold Person data type,NULL,0,0,0
1902,1030,Person name,Person name scale to hold Person data type,NULL,0,0,0
1903,1030,Location id,Location scale to hold Location data type,NULL,0,0,0
1904,1030,Location name,Location name scale to hold Location data type,NULL,0,0,0
1905,1030,Datatset id,Datatset scale to hold Datatset data type,NULL,0,0,0
1906,1030,Datatset name,Datatset name scale to hold Datatset data type,NULL,0,0,0
1907,1030,Germplasm id,Germplasm scale to hold Germplasm List data type,NULL,0,0,0
1908,1030,Germplasm name,Germplasm name scale to hold Germplasm List data type,NULL,0,0,0
1909,1030,Breeding method id,Breeding method scale to hold Breeding method data type,NULL,0,0,0
1910,1030,Breeding method name,Breeding method name scale to hold Breeding method data type,NULL,0,0,0
1911,1030,Contact Person Name,Name of contact person associated with incoming study,NULL,0,0,0
1912,1030,Contact Person Email,Email of contact person associated with incoming study,NULL,0,0,0
1913,1030,Contact Person Organization,Organization of contact person associated with incoming study,NULL,0,0,0
1914,1030,Contact Person Type,Type of contact person associated with incoming study,NULL,0,0,0
2000,1010,Project,Project or program,NULL,0,0,0
2002,1010,User,Database user,NULL,0,0,0
2010,1010,Study,Experiment,nursery,survey  within a project or program,NULL,0,0,0
2012,1010,Study title,Title of the study,NULL,0,0,0
2014,1010,Study objective,Objective of the study,NULL,0,0,0
2015,1010,Study status,Status of the study (active,locked,deleted
2020,1010,Dataset,Dataset within a study,NULL,0,0,0
2030,1010,Dataset title,Title or description of a dataset,NULL,0,0,0
2040,1010,Creation date,Date an entity was created,NULL,0,0,0
2045,1010,Update date,Date updated,NULL,0,0,0
2050,1010,Start date,Start date of the study,NULL,0,0,0
2052,1010,End date,End date of the study,NULL,0,0,0
2053,1010,Observation time,Observation time,NULL,0,0,0
2054,1010,Planting date,Planting date,NULL,0,0,0
2056,1010,Transplanting date,Transplanting date,NULL,0,0,0
2058,1010,Harvest date,Harvest date,NULL,0,0,0
2060,1010,Measurement date,Measurement date,NULL,0,0,0
2065,1010,Comment,Comment,NULL,0,0,0
2070,1010,Institute,Institute,NULL,0,0,0
2080,1010,Person,Person,NULL,0,0,0
2090,1010,Ownership,Ownership and intellectual property status,NULL,0,0,0
2100,1010,Trial instance,Identifier for an individual experiment in a multi environemt trial,NULL,0,0,0
2105,1010,Nursery,Nursery,NULL,0,0,0
2110,1010,Location,Location,NULL,0,0,0
2120,1010,Field plot,Identifier for a plot within a trial,NULL,0,0,0
2122,1010,Plot size,Plot size,NULL,0,0,0
2123,1010,Rows per plot,Rows per plot,NULL,0,0,0
2124,1010,Harvest area,Harvest area,NULL,0,0,0
2126,1010,Row length,Row length,NULL,0,0,0
2128,1010,Row spacing,Row spacing,NULL,0,0,0
2129,1010,Plant spacing,Plant spacing,NULL,0,0,0
2130,1010,Sample unit,Sample unit,NULL,0,0,0
2140,1010,Experimental design,Experimental design,NULL,0,0,0
2141,1010,ED - nrep,Experimental design parameter - number of reps,NULL,0,0,0
2142,1010,ED - block size,Experimental design parameter - block size,NULL,0,0,0
2143,1010,ED - rep arrangement,Experimental design parameter - rep arrangement,NULL,0,0,0
2144,1010,ED - reps per column,Experimental design parameter - reps per column,NULL,0,0,0
2145,1010,ED - rows in reps,Experimental design parameter - rows in reps,NULL,0,0,0
2146,1010,ED - cols in reps,Experimental design parameter - columns in reps,NULL,0,0,0
2147,1010,ED - rows to latinize,Experimental design parameter - contiguous rows to latinize,NULL,0,0,0
2148,1010,ED - cols to latinize,Experimental design parameter - contiguous columns to latinize,NULL,0,0,0
2149,1010,ED - ranges in reps,Experimental design parameter - ranges in reps,NULL,0,0,0
2150,1010,Replication factor,Identifier for each replication within an experiment,NULL,0,0,0
2151,1010,ED - blocks to latinize,Experimental design parameter - contiguous blocks to latinize,NULL,0,0,0
2152,1010,ED - plot order,Experimental design parameter - plot order in layout,NULL,0,0,0
2153,1010,ED - check start,Experimental design parameter - check entry start position,NULL,0,0,0
2154,1010,ED - check interval,Experimental design parameter - number of test plots between checks,NULL,0,0,0
2155,1010,ED - check plan,Experimental design parameter - singel or multiple check plots,NULL,0,0,0
2160,1010,Blocking factor,Identifier for each block within a trial or replication,NULL,0,0,0
2170,1010,Row in layout,Identifier for a row in the trial layout,NULL,0,0,0
2180,1010,Column in layout,Identifier for a column in the trial layout,NULL,0,0,0
2182,1010,Plots sown,Plots sown,NULL,0,0,0
2190,1010,Sample order,Sequence order for sampling or measurements,NULL,0,0,0
2191,1010,BLOCK_ID_PROP,BLOCK_ID_PROP,NULL,0,0,0
2200,1010,Germplasm entry,Germplasm entry,NULL,0,0,0
2204,1010,Germplasm stock id,ID associated with a seed/propagule inventory deposit,NULL,0,0,0
2205,1010,Germplasm id,Germplasm identifier,NULL,0,0,0
2206,1010,Germplasm group,Germplasm group,NULL,0,0,0
2207,1010,Cross history,Pedigree string,NULL,0,0,0
2208,1010,Seed source,Seed source,NULL,0,0,0
2209,1010,Entry type,Entry type,NULL,0,0,0
2210,1010,Plant stand,The number of plants per plot.,NULL,0,0,0
2220,1010,Topography,This refers to the profile in elevation of the land surface on a broad scale. the reference is fao (1990
2230,1010,Landform,The landform refers to the shape of the land surface in the area in which the collecting site is located (adapted from fao,1990
2240,1010,Geomorphology,Description of the geomorphology of the immediate surroundings of the collecting site (adapted from fao,1990
2250,1010,Slope,Land slope,NULL,0,0,0
2260,1010,Altitude,Altitude,NULL,0,0,0
2270,1010,Latitude,Latitude,NULL,0,0,0
2280,1010,Longitude,Longitude,NULL,0,0,0
2285,1010,Geodetic datum,Geodetic datum used for georeference,NULL,0,0,0
2290,1010,Soil type,Soil type,NULL,0,0,0
2300,1010,Soil texture,Soil texture,NULL,0,0,0
2305,1010,Soil depth,Soil depth,NULL,0,0,0
2310,1010,Soil clay,Soil clay content,NULL,0,0,0
2320,1010,Soil sand,Soil sand content,NULL,0,0,0
2325,1010,Soil silt,Soil silt content,NULL,0,0,0
2330,1010,Soil organic,Soil organic content,NULL,0,0,0
2340,1010,Soil acidity,Soil acidity,NULL,0,0,0
2350,1010,Soil salinity,Soil salinity,NULL,0,0,0
2360,1010,Soil moisture,Soil moisture,NULL,0,0,0
2370,1010,Soil color,Soil color,NULL,0,0,0
2380,1010,Soil erosion,Soil erosion,NULL,0,0,0
2390,1010,Soil fertility,Soil fertility,NULL,0,0,0
2400,1010,Soil toxicity,Soil toxicity,NULL,0,0,0
2403,1010,Soil nutrient,Soil nutrient,NULL,0,0,0
2405,1010,Fertilizer use,Fertilizer application,NULL,0,0,0
2410,1010,Nitrogen,Nitrogen,NULL,0,0,0
2420,1010,Phosphorus,Phosphorus,NULL,0,0,0
2430,1010,Potassium,Potassium,NULL,0,0,0
2440,1010,Micronutrient,Micronutrient,NULL,0,0,0
2450,1010,Ecosystem,Ecosystem,NULL,0,0,0
2451,1010,Environment,Environment,NULL,0,0,0
2452,1010,Season,Growing season,NULL,0,0,0
2460,1010,Farming system,Farming system,NULL,0,0,0
2470,1010,Rainfall,Rainfall,NULL,0,0,0
2475,1010,Water quality,Water quality,NULL,0,0,0
2477,1010,Flooding,Flooding,NULL,0,0,0
2478,1010,Submergence,Submergence,NULL,0,0,0
2480,1010,Temperature,Temperature,NULL,0,0,0
2481,1010,Minimum temperature,Minimum temperature,NULL,0,0,0
2482,1010,Maximum temperature,Maximum temperature,NULL,0,0,0
2490,1010,Light conditions,Light conditions,NULL,0,0,0
2495,1010,Solar radiation,Solar radiation,NULL,0,0,0
2500,1010,Irrigation,Irrigation applied,NULL,0,0,0
2510,1010,Plant protection,Plant protection applied,NULL,0,0,0
2515,1010,Weed protection,Weed protection applied,NULL,0,0,0
2520,1010,Insect protection,Insect protection applied,NULL,0,0,0
2530,1010,Disease protection,Disease protection applied,NULL,0,0,0
2540,1010,Pest protection,Pest protection applied,NULL,0,0,0
2550,1010,Insect damage,Insect damage,NULL,0,0,0
2560,1010,Disease damage,Disease damage,NULL,0,0,0
2570,1010,Drought stress,Drought stress,NULL,0,0,0
2580,1010,Heat stress,Heat stress,NULL,0,0,0
2590,1010,Evaporation,Evaporation,NULL,0,0,0
2600,1010,Transpiration,The amount of water transpired by leaf stomata,NULL,0,0,0
2610,1010,Seed storage location,Seed storage location,NULL,0,0,0
2620,1010,Inventory amount,Amount of inventory stored or withdrawn,NULL,0,0,0
2630,1010,Seed storage units,Seed storage units,NULL,0,0,0
2640,1010,Seed germination,Seed germination,NULL,0,0,0
2650,1010,Seed storage date,Seed storage date,NULL,0,0,0
2655,1010,IP status,Ownership and useage/distribution restrictions on germplasm,NULL,0,0,0
2657,1010,IMS lot,Combination of germplasm id,storage location,storage units,NULL,0,0,0
2660,1010,Selections,Indicates if propagules from any source germplas are advanced and depending on the method how may lines are advanced,NULL,0,0,0
2670,1010,Breeding method,Breeding or maintenance method of germplasm,NULL,0,0,0
2680,1010,Seed harvested,Seed harvested,NULL,0,0,0
2690,1010,Tillage system,Tillage system,NULL,0,0,0
2700,1010,Thresher method,Thresher method,NULL,0,0,0
2710,1010,Sowing method,Sowing method,NULL,0,0,0
2720,1010,Sowing depth,Sowing depth,NULL,0,0,0
2730,1010,Seed distribution,Seed distribution,NULL,0,0,0
2740,1010,Roguing,Roguing,NULL,0,0,0
2750,1010,Plot width,Plot width,NULL,0,0,0
2760,1010,Plot length,Plot length,NULL,0,0,0
2770,1010,Planting density,Planting density,NULL,0,0,0
2780,1010,Mechanical weed control,Mechanical weed control,NULL,0,0,0
2790,1010,Harvest method,Harvest method,NULL,0,0,0
2800,1010,Fieldbook,Fieldbook type,NULL,0,0,0
3013,4012,P1,Project 1,NULL,0,0,0
3014,4013,ME1,Mega_Environment 1,NULL,0,0,0
3015,4014,FB1,FB_Type 1,NULL,0,0,0
3016,4015,TT1,Trial_Type 1,NULL,0,0,0
4000,1020,Not specified,Method not specified,NULL,0,0,0
4010,1020,Conducted,Procedure or experiment conducted,NULL,0,0,0
4020,1020,Applied,Factor applied,NULL,0,0,0
4021,1020,Applied at plot level,Applied at plot level,NULL,0,0,0
4025,1020,Planted,Field planted,NULL,0,0,0
4030,1020,Assigned,Term,name or id assigned,NULL,0,0,0
4031,1020,Assigned Attribute,Standard method for assigned attribute,NULL,0,0,0
4032,1020,Assigned Passport Descriptor,Standard method for assigned passport descriptor,NULL,0,0,0
4040,1020,Enumerated,Levels enumerated - 1,2,3,NULL,0,0,0
4050,1020,Selected,Selected,NULL,0,0,0
4060,1020,Described,Described,NULL,0,0,0
4070,1020,Ph meter,Ph meter method,NULL,0,0,0
4080,1020,Counted,Counting method,NULL,0,0,0
4090,1020,Weighed,Weighing method,NULL,0,0,0
4100,1020,Field trial,Field trial method,NULL,0,0,0
4110,1020,Observed,Value recorded after observation,NULL,0,0,0
4111,1020,Observation 1,First observation,NULL,0,0,0
4112,1020,Observation 2,Second observation,NULL,0,0,0
4113,1020,Observation 3,Third observation,NULL,0,0,0
4120,1020,Chemical assay,Chemical assay,NULL,0,0,0
4130,1020,Average,Average of values,NULL,0,0,0
4140,1020,TillSytem METHOD,Tillage Sytem METHOD,NULL,0,0,0
4150,1020,ThresherMethod METHOD,Thresher Method METHOD,NULL,0,0,0
4160,1020,SowingMethod METHOD,SowingMethod METHOD,NULL,0,0,0
4170,1020,SowingDepth METHOD,SowingDepth METHOD,NULL,0,0,0
4180,1020,SeedDistrib METHOD,SeedDistrib METHOD,NULL,0,0,0
4190,1020,PlotWid METHOD,PlotWid METHOD,NULL,0,0,0
4200,1020,PlotLng METHOD,PlotLng METHOD,NULL,0,0,0
4210,1020,PlantingDensity METHOD,PlantingDensity METHOD,NULL,0,0,0
4250,1020,MecWeedCtrl METHOD,MecWeedCtrl METHOD,NULL,0,0,0
4260,1020,IrrigMethod METHOD,IrrigMethod METHOD,NULL,0,0,0
4270,1020,HarvestMethod METHOD,HarvestMethod METHOD,NULL,0,0,0
4280,1020,Trial_Abbr METHOD,Trial_Abbr METHOD,NULL,0,0,0
4290,1020,Measured,Measured observation,NULL,0,0,0
4300,1020,Method for GM,Method for Grand mean,NULL,0,0,0
4310,1020,Method for LSD1,Method for Least Significant Diference 1%,NULL,0,0,0
4320,1020,Method for Pvalue,Method for pValue test for zero treatment effect,NULL,0,0,0
4330,1020,Method for WaldDF,WaldDF  (system generated method
4340,1020,Method for WaldStatistic,WaldStatistic  (system generated method
4350,1020,Method for CV,Method for Coefficient of variation,NULL,0,0,0
4360,1020,Method for MSE,Method for Mean square error statistic,NULL,0,0,0
4370,1020,Method for MaxLSD,MaxLSD  (system generated method
4380,1020,Method for MinLSD,MinLSD  (system generated method
4390,1020,Method for MeanLSD,MeanLSD  (system generated method
4400,1020,Method for MaxSED,MaxSED  (system generated method
4410,1020,Method for MinSED,MinSED  (system generated method
4420,1020,Method for MeanSED,MeanSED  (system generated method
4430,1020,Method for MaxRep,MaxRep  (system generated method
4440,1020,Method for MinRep,MinRep  (system generated method
4450,1020,Method for MeanRep,MeanRep  (system generated method
4460,1020,Method for UpperQuartile,UpperQuartile  (system generated method
4470,1020,Method for LowerQuartile,LowerQuartile  (system generated method
4480,1020,Method for Median,Median  (system generated method
4490,1020,Method for Range,Range  (system generated method
4520,1020,Method for SD,SD  (system generated method
4530,1020,Method for Variance,Variance  (system generated method
4540,1020,Method for NumMissing,NumMissing  (system generated method
4550,1020,Method for NumValues,NumValues  (system generated method
4560,1020,Method for NREP,Method for Number of Reps,NULL,0,0,0
4570,1020,Method for EDF,Method for Error Degrees of Freedom,NULL,0,0,0
6000,1030,DBCV,Controlled vocabulary from a database,NULL,0,0,0
6010,1030,DBID,Identifier from a database,NULL,0,0,0
6014,1030,Breeding generation,Breeding generation of a population,NULL,0,0,0
6015,1030,BMETH_CODE,Breeding method code (from the METHODS list
6016,1030,LOC_ABBR,Location abbreviation (from LOCATION.LABBR
6020,1030,Text,Text,NULL,0,0,0
6025,1030,CSSI,Comma delimited string of integers,NULL,0,0,0
6030,1030,Name,Name,NULL,0,0,0
6035,1030,Number per plant,Number per plant,NULL,0,0,0
6036,1030,Number per m**2,Number per square meter,NULL,0,0,0
6040,1030,Number,Number,NULL,0,0,0
6041,1030,Decimal + for N,- for S,The decimal latitude coordinate of the georeference,using positive and negative sign to indicate N and S,respectively,NULL,0,0,0
6042,1030,Decimal + for E,- for W,The decimal longitude coordinate of the georeference,using positive and negative sign to indicate E and W,respectively.,NULL,0,0,0
6045,1030,Nested number,Number unique across the groups of a nesting factor,NULL,0,0,0
6050,1030,Code,Code,NULL,0,0,0
6060,1030,Date (yyyymmdd
6064,1030,Year-month (yyyymm
6065,1030,Year (yyyy
6066,1030,Month (mm
6067,1030,Day (dd
6070,1030,Type,Type,NULL,0,0,0
6080,1030,Status,Status,NULL,0,0,0
6084,1030,ml,millilitres,NULL,0,0,0
6085,1030,cm,centimeters,NULL,0,0,0
6086,1030,m,meters,NULL,0,0,0
6087,1030,g,grams,NULL,0,0,0
6088,1030,kg,kilograms,NULL,0,0,0
6089,1030,l,litres,NULL,0,0,0
6090,1030,Kg/ha,Kg/ha scale,NULL,0,0,0
