cv_id,name,definition
20013,25061,SdQual_Est_1to5 : Seed quality -BY- Seed quality visual assessment -IN- 1 to 5 quality scale
20014,25067,StemTermTyp_Est_1or2 : Stem termination type -BY- Termination observation -IN- 1 or 2 type scale
20015,25001,BAW_Est_1to5 : Beet armyworm -BY- Foliar feeding assessment -IN- 1 to 5 percentage scale
20016,25005,DEFOL_Est_1to5 : Defoliation -BY- Defoliation assessment -IN- 1 to 5 percentage scale
20017,25020,PodShat_LateEst_1to5 : Pod shattering -BY- Late pod shattering assessment -IN- 1 to 5 percentage scale
20018,25039,PubCol_Est_1to4 : Pubescence Color -BY- Pubescence color assessment -IN- 1 to 4 color scale
20019,25029,MatGroup_Est_1to13 : Maturity group -BY- Maturity group classification -IN- 1 to 13 maturity scale
20020,25048,SdCoatMott_Est_1to10 : Seed coat mottling -BY- Seed coat color observation -IN- 1 to 10 percentage scale
20021,25037,PRIROOTSHAPE : The shape of the primary root at a stipulated range of the root
20022,25066,ANTHR_Est_1to5 : Soybean anthracnose -BY- Anthracnose assessment -IN- 1 to 5 infection score
20023,25021,LATROOTSHAPE : The shape of the lateral root at a stipulated range of the roots
20024,25025,LfletShp_Comp_1to4 : Leaflet shape -BY- Leaf shape method -IN- 1 to 4 shape scale
20025,25040,PubescForm_Est_1to8 : Pubescence form -BY- Pubescence form observation -IN- 1 to 8 shape scale
20026,25042,PubescTipTyp_Est_1or2 : Pubescence tip type -BY- Pubescence tip type observation -IN- 1 or 2 type scale
20027,25012,FlwForm_Est_1or2 : Flower form -BY- Flower final form observation -IN- 1 or 2 form scale
20028,25041,PubescPres_Est_1or2 : Pubescence presence -BY- Pubescence presence method -IN- 1 or 2 presence scale
20029,25069,CercoLfS_Est_1to5 : Cercospora Leaf spot -BY- Leaf disease -IN- 1 to 5 infection score
20030,25754,1 to 5 infection score of RUST at stage R3 - 1 to 5 infection score of RUST at stage R3
20031,25762,1 to 5 infection score of RUST at stage R6 - 1 to 5 infection score of RUST at stage R6
20032,25770,1 to 5 infection score of Bacterial Pustule infection at stage R3 - 1 to 5 infection score of Bacterial Pustule infection at stage R3
20033,25778,1 to 5 infection score at stage R6 - 1 to 5 infection score at stage R6
20034,25787,1 to 5 infection score of Bacterial blight infection at stage R3 - 1 to 5 infection score of Bacterial blight infection at stage R3
20035,25795,1 to 5 infection score of Bacterial blight infection at stage R6 - 1 to 5 infection score of Bacterial blight infection at stage R6
20036,25804,1 to 5 infection score of Brown leaf spot - 1 to 5 infection score of Brown leaf spot
20037,25848,1 to 5 Cercospora infection score at stage R3 - 1 to 5 Cercospora infection score at stage R3
20038,25856,1 to 5 Cersosport infection score at stage R6 - 1 to 5 Cersosport infection score at stage R6
20039,25863,1 to 5 Frog Eye leaf spot score at stage R3 - 1 to 5 Frog Eye leaf spot score at stage R3
20040,25870,1 to 5 Frog Eye Leaf spot score at stage R6 - 1 to 5 Frog Eye Leaf spot score at stage R6
20041,25973,0 to 5 disease infection scale - 0 to 5 disease infection scale used to score diseases evaluated under the SIL-PAT program
20042,26066,Growth_Stage - Soybean Growth stages according to Fehr et al.,1971
20043,26089,1 to 5 leaf severity scale - 1 to 5 leaf severity scale
20044,26096,1 to 5 disease severity score (SIL
20045,26103,Rust reaction type (SIL
20046,26163,1 to 5 podding at maturity - 
