File,Sheet,Page,Language,Variable Name,Variable Description,Data_type,Unit_of_Measurment,Key
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Month_Worked,Months worked during the last 12 months,Integer,Months,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Working_Hrs_Week,Working hours per week during months worked,Integer,Hours,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Read_Write_Yn,Can read and/or write any language (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Education,Education (Code 5),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Education_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Decision_Involvment,Involved in decision-making regarding crop production? (Code 6),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,HH_Id,Household ID (from the list provided),Integer,,1
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,Outside_HH_Mem_Num,Number of close family members who live outside the household for >4 months out of the last 12 months and whose husband/wife or parents (in case the person is unmarried) live in the surveyed household.,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,HH_OM_Id,HH member ID of outside family members,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,HH_OM_Name,Name of the household member,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,HH_OM_Gender,Gender (Code 2),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,HH_OM_Age,Age (years),Integer,Years,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,HHH_OM_Rlen,Relation to HH head (Code 3),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Marital_Status,Marital Status (Code 7),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Primary_Occupn,Primary occupation in the last 12 months - Type of work (Code 4),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Primary_Occupn_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Month_Worked,Months worked during the last 12 months,Integer,Months,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Working_Hrs_Week,Working hours per week during months worked,Integer,Hours,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Outside_Period,How long has this member been staying outside the house? (MONTHS),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Current_Place,Current place this person resides (name),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,Dist_House_Place,Distance from house to the place where he/she resides (km),Integer,Km,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Vist_Freq,Frequency of visit (once in _________ months),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Read_Write,Can read and/or write any language (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Educn,Education (Code 5),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Educn_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Decn_Making,Actively involved in decision-making regarding crop production Over phone or when he or she visits(Code 6),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.9,Page number 4,English,OM_Monetary_Flow,Type of monetary flow,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,HH_Id,Household ID (from the list provided),Integer,,1
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Farm_Size,Farm size of household,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Module_Resp,Respondent of this module,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Land_Unit,Land unit used by the farmer,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Land_Unit_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,LU_Convrsn_Rate,LU conversion rate - 1 Ha =_________ LU,Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Total_Cult_Area,Total cultivable area owned [LU],Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Lease_In_Area,Area leased-in [LU],Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Lease_In_Charge,Lease-in charge [Birr/LU],Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Lease_Out_Area,Area leased-out [LU],Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Lease_Out_Charge,Lease-out charge [Birr/LU],Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Sharecrop_Area,"Total land area brought in under sharecropping arrangement [LU, if zero go to",Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop1,start from a crop with largest area under sharecropping - Crop 1 (Code 9),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop1_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop1_Area,Area (LU),Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop1_Harv,Share of harvest obtained by HH (%),Float,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop2,start from a crop with largest area under sharecropping - Crop 2 (Code 9),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop2_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop2_Area,Area (LU),Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop2_Harv,Share of harvest obtained by HH (%),Float,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop3,start from a crop with largest area under sharecropping - Crop 3 (Code 9),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop3_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop3_Area,Area (LU),Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Share_Crop3_Harv,Share of harvest obtained by HH (%),Float,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Cult_Area,Area cultivated jointly with friends or family members outside the home,Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop1,start from a crop with largest area under joint arrangement - Crop 1,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop1_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop1_ Area,Area (LU),Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop1_ Harv,Share of harvest obtained by HH (%),Float,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop2,start from a crop with largest area under joint arrangement - Crop 2,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop2_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop2_ Area,Area (LU),Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop2_ Harv,Share of harvest obtained by HH (%),Float,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop3,start from a crop with largest area under joint arrangement - Crop 3,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop3_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop3_ Area,Area (LU),Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Joint_Crop3_ Harv,Share of harvest obtained by HH (%),Float,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Othr_Land_Area,"Area of other land used for cultivation (e.g., community land) [LU]",Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,MortageLand_Area,Area of land mortgaged out to someone [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Total_CultArea_Meher,Total area cultivated in Meher season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Rice_CultArea_Meher,Total rice area cultivated in Meher season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Maize_CultArea_Meher,Total maize cultivated in Meher season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Wheat_CultArea_Meher,Total wheat area cultivated in Meher season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Total_CultArea_Belg,Total area cultivated in Belg season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Rice_CultArea_Belg,Total rice area cultivated in Belg season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Maize_CultArea_Belg,Total maize cultivated in Belg season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Wheat_CultArea_Belg,Total wheat area cultivated in Belg season [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Total_Area_BtwSeason,Total area cultivated (if any) between the two seasons (between Meher and Berg),Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Num_Plots_CropGrown,"During the last 12 months, on how many specific plots have you grown crops",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.3,Page number 6,English,Info_Collect ,"[ENUMERATOR: Collect this information for each cultivable plot, starting with the largest in plot area. Include max 8 plot",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,HH_Id,Household ID (from the list provided),Integer,,1
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Num_Plots_CropGrown,"During the last 12 months, on how many specific plots have you grown crops",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Id,Plot ID,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Area,Plot area [LU],Float,LU,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Dist_WalkMin,Distance from home to this plot (minutes of walking - one way),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Locn_Name,Name/area where the specific plot is located,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,PrimaryCrop_Seasn1,Primary crop during season 1 or rainy/Summer/Meher 2020/21 (Code 14),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,PrimaryCrop_Seasn1_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,PrimaryCrop_Seasn2,Primary crop during season 2 or Dry/winter/Belg 2021 (Code 14),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,PrimaryCrop_Seasn2_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Slope,Slope (Code 15),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Soil_Type,Soil type(Code 16),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Soil_Fert,Soil fertility (Code 17),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Erosion_Yn,Have you had erosion problems with the plot? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Soil_Salinity_Yn,Have you had soil salinity or sodicity problems with the plot?(Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Soil_Acidity_Yn,Have you had soil acidity problems with the plot? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,WaterLogging_Yn,Have you had water logging problems with the plot? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Tenure_Stat,Tenure status,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Tenure_Stat_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,PlotOwn_Inherited_Yn,"If owned, is the plot of land inherited from parents? (Code 1)",Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_SelfManage_10Yrs,Was this plot under your management 10 years back? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Land_Title_FamMemb,Land title available in the name of any of the family members? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,LandTitle_Holder,"If yes to Q16, who is the title holder? (Code 19)",Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Manager,Who manages the crops grown in the plot for most time (Code 19),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Irrgn_Yn,Is irrigation available for the specific plot? (Code 20),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Irrgn_Src,"If irrigation is available at least (sometime or always), the source",Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Irrgn_Src_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,SoilWater_Consrvn_Str,Have you constructed soil and water conservation structures in this plot during the last 3 years (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Chem_Herbicides_Yn,Have you adopted chemical herbicides in this plot during the last two season,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Plot_Intercropping_Yn,you adopted intercropping in this plot during the last two seasons? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.1b,Page number 7,English,Add_Plot,Is there an additional plot? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,HH_Id,Household ID (from the list provided),Integer,,1
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Id,Plot ID,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Area,Plot area [LU],LU,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,PrimaryCrop_Seasn1,Primary crop during season 1 or rainy/Summer/Meher 2020/21 (Code 14),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,PrimaryCrop_Seasn2,Primary crop during season 2 or Dry/winter/Belg 2021 (Code 14),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Random_Plot_Id,Is this the the major wheat plot?,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Num_Tillage,many times the plot was tilled before sowing wheat?,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Seed_Use,How much seed did you use for the entire plot? (kg),Float,Kg,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Wheat_Var,What was the wheat variety grown on this plot?,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Wheat_InterCrop,Was wheat intercropped with other crops? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Sec_Crop,What was the other/secondary crop (intercrop) (Code 14),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_Sec_Crop_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_MainCrop_PrevSeason,What was the main crop grown during the previous season in this plot? (Code 14),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_MainCrop_PS_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Residue_PrevCrop_Burn,Was the residue of previous crop (crop before wheat) burnt? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Residue_Mulch_Yn,"If not, had you used the crop residue from the previous crop as mulch for wheat? (Code 1)",Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Residue_PrevWheat_Burn,Was the residue of previous wheat crop burnt (partly or all)? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,WheatResiued_Use,"If not, had you used the wheat residue as mulch for the next crop? (Code 1)",Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Sowing_Week_2020,Week of sowing (of 2020),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Sowing_Month_2020,month of sowing (of 2020),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Sowing_Date_Covid,Did COVID-19 affect the sowing date/week? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Main_Seed_Src,Main seed source (Code 21),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Main_Seed_Src_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Harvest_Week,"Week of harvesting (of 2020 or 2021) [If not harvested, expected week",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Harvest_Month,"Month of harvesting (of 2020 or 2021) [If not harvested, expected week",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Harvest_Date_Covid,Did COVID-19 affect the harvesting date/week? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Plot_GrainYield_Qnt,"Grain yield from this plot Quantity in KG [If not harvested, expected yield]",Integer,Kg,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Share_MrktdGrain,"Share of grain marketed (%) [If not harvested, expected share]",Integer,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Share_StoredGrain,"Share stored for household consumption (%) [If not harvested, expected",Integer,Percentage,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Avg_Selling_Price,Average selling price (ETB/kg),Integer,ETB/Kg,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 8,English,Income_Resd_Selling,Income from selling the crop residue (ETB/plot),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 9,English,Input1_Manure_PlantRes,Have you applied Manure: Plant residue (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,2.2.a,Page number 9,English,Input1_Name,Name of input,Text,,0
