HH_Id,Impr_WheatVar_Trait,Trait_HighYld,Trait_Adaption,Trait_High_StawYld,Trait_Taller,Trait_Shorter,Trait_Lodging_Tol,Trait_Disese_Res,Trait_BoldGrain,Trait_Duration,Trait_GoodTillering,Trait_SeedRate,Trait_EasyThreshing,Trait_Storability,Trait_FlourColour,Trait_MineralRich,Trait_BreadMaking,Trait_HighProtein,Trait_HighFibre,Trait_Taste,Trait_Milling_Qlty,Trait_Grain_Price,Trait_Rank,Trait_Rank_1,Trait_Rank_2,Trait_Rank_3,Seed_Src_Saving,Seed_Src_SocialNetwork,Seed_Src_Markets,Seed_Src_ComntySeedGrp,Seed_Src_GovAgency,Seed_Src_GovAgency1,Seed_Src_NonGov,Seed_Src_Other,Seed_Src_Specify,Seed_Market_1,Seed_Market_2,Last_Seasn_OwnWSeed
385,AST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,AST,A,S,T,1,1,1,1,1,1,0,0, ,lumame,none,0
386,ABGHS,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,AGS,A,G,S,1,1,1,0,0,1,0,0, ,LUMAME,LEGA,0
388,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A, , ,0,0,0,0,0,1,0,0, ,lumame,none,0
389,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,0,0,0,0,0,0, ,LUMAME,NONE,1
390,ABDH,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABH,A,B,H,1,0,1,0,0,0,0,0, ,Lumame,none,0
391,BFM,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,M,M, , ,1,0,1,1,1,1,0,0, ,LUMAME,NONE,1
392,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,0,0,0,0,0,0,0,0, ,LUMAME,NONE,1
393,ABCGHPS,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,APS,A,P,S,1,1,1,0,0,1,0,0, ,LUMAME,LEGA,1
394,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,0,1,1,1,0, ,LUMAME,NONE,0
395,BGS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,G,G, , ,1,0,0,1,1,1,0,0, ,LUMAME,NONE,0
529,ABDIJ,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ABI,A,B,I,1,0,0,0,0,1,0,0, ,MOLALE,WOGEREY,1
531,ABCDFGHP,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ACP,A,C,P,1,1,1,0,0,0,0,0, ,MOLALE,CHERINFIYA,0
532,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,1,0,1,0,0,0, ,MOLALE,NONE,1
533,ABGI,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BGI,B,G,I,1,1,1,1,0,0,0,0, ,molale,none,0
535,DPS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,P,P, , ,0,0,0,0,0,0,0,0, ,MOLALE,YEGEME,0
536,ABDGHP,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,0,0,0, ,MOLALE,MELEYAYA,1
537,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,0,1,1,1,0,0,0,0, ,MELEYA,MOLLALE,1
538,APU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,APU,A,P,U,1,1,1,0,0,1,0,0, ,Molale,YIGEM,0
539,ABHJ,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,BHJ,B,H,J,1,1,1,0,0,0,0,0, ,MOLLALE,MELEYA,1
561,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,P,P, , ,1,1,1,1,0,0,0,0, ,DEBRE BERHANE,NONE,1
563,APU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,APU,A,P,U,1,0,1,0,0,1,0,0, ,Debrebrhan,None,1
564,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,P,P, , ,1,1,1,1,0,1,0,0, ,DEBRE BERHANE,NONE,1
565,ABCHIJM,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,BCH,B,C,H,1,1,1,1,0,0,0,0, ,DEBIREBIREHAN,GOSHEBADO,1
567,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,0,0,0,0,0,0, ,DEBEREBIRHAN,GOSHEBADO,1
568,ABNPQ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,ABP,A,B,P,1,1,1,0,0,0,0,0, ,DEBREBIRHAN,GOSHEBADO,1
569,ABFKMP,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,ABF,A,B,F,1,0,1,0,1,0,0,0, ,DEBREBIRHAN,GOSHEBADO,1
570,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E,1,1,1,1,0,0,0,0, ,DEBIREBIREHAN,GOSHEBADO,1
571,ABDGITU,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,BDG,B,D,G,1,1,1,1,0,0,0,0, ,debere birhan,none,1
572,ABU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ABU,A,B,U,1,1,0,0,0,1,0,0, ,Debrebrhan,None,0
573,ABGI,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AGI,A,G,I,1,1,1,1,0,0,0,0, ,debere birhan,none,1
574,ABCEHPS,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,ACP,A,C,P,1,1,1,0,0,0,0,0, ,DEBRE BIRHAN,GOSHE BADO,1
575,ABEHP,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ABP,A,B,P,1,1,1,0,0,0,0,0, ,DEBRE BIRHAN,GOSHE BADO,1
576,ABCEHPS,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,AHP,A,H,P,1,1,1,0,0,0,0,0, ,DEBRE BIRHAN,GOSHE BADO,1
943,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,0,0,1,1,0,0, ,SHENO,KOTU,1
944,ABCH,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,0,0, ,SHENO,NONE,1
945,ABHJ,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ABH,A,B,H,1,1,1,1,1,0,0,0, ,SHENO,NONE,0
946,ABCDFGHP,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ACP,A,C,P,1,1,1,0,0,0,0,0, ,SHENO,ALELETU,1
948,ABGHU,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BGH,B,G,H,1,1,1,0,0,1,0,0, ,Sheno,None,1
949,BMP,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,B,B, , ,1,1,1,1,1,1,0,0, ,SHENO,HAMUSE GEBYA,1
951,ABJLPS,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,ABS,A,B,S,1,1,0,1,1,1,0,0, ,SHENO,KOTU,1
952,ABGH,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G,1,1,1,0,0,0,0,0, ,sheno,none,0
956,ABCDG,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G,1,1,1,0,0,0,0,0, ,sheno,none,1
957,ABHU,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ABH,A,B,H,1,1,1,0,0,0,0,0, ,Sheno,None,1
958,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,0,0,0,0,1,1,0,0, ,MEHALMEDA,NONE,0
959,ABCHJ,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,BCJ,B,C,J,1,1,1,1,1,1,0,0, ,MAILMEDA,NONE,0
960,ABCG,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G,0,0,1,0,0,0,0,0, ,mejal meda,none,0
961,ABCH,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,0,0, ,MAHILMEDA,NONE,1
962,ABCDHP,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,CHP,C,H,P,0,1,1,0,0,1,0,0, ,MEHALMEDA,ZEMERO,0
963,AHJMS,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,AMS,A,M,S,1,0,1,0,1,1,0,0, ,MEHALMEDA,ZEMERO,1
964,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,P,P, , ,0,0,1,1,1,1,0,0, ,MEHALE MEDA,ASHANE,0
965,APU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,APU,A,P,U,0,1,1,0,0,0,0,0, ,Mahil Meda,None,0
967,ABDGIM,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,ABG,A,B,G,0,0,1,1,0,0,0,0, ,mehal meda,none,1
968,ABCDGHP,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,0,1,1,1,0,0,0,0, ,MEHALMEDA,ZEMERO,0
969,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,B, , ,0,1,1,0,0,0,0,0, ,MEHALE MEDA,ASHANE,0
971,ABHU,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BHU,B,H,U,0,1,1,0,0,1,0,0, ,Mahil meda,Zemero,0
973,ABGS,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ABG,A,B,G,1,1,1,0,0,0,0,0, ,mehal meda,none,1
1047,ABIJP,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,BIP,B,I,P,1,0,1,0,1,1,0,0, ,GINDEWOYEN,NONE,1
1048,ABG,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G,0,0,0,1,0,0,0,0, ,gendewoyen,none,0
1049,BEG,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,G, , ,1,0,0,0,0,0,0,0, ,GENDE WEINE,NONE,1
1050,ABFL,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ABF,A,B,F,1,0,0,0,1,1,0,0, ,GINDEWOYEN,NO,1
1051,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,0,0,0,1,0,0, ,GINDEWEYIN,NONE,1
1052,AGH,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AGH,A,G,H,1,1,1,1,0,0,0,0, ,gendewoyen,none,0
1055,AFG,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFG,A,F,G,1,1,1,1,0,0,0,0, ,gendewoyen,none,1
1056,ABFGHP,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AFH,A,F,H,1,1,1,0,0,1,0,0, ,GENDE WOIN,NONE,1
1057,ABJLNQ,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,ABN,A,B,N,1,0,0,0,1,1,1,0, ,GINDEWOYEN,NONE,1
1058,ABDFHPT,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,AHP,A,H,P,1,1,1,0,0,1,0,0, ,GENDE WOIN,NONE,1
1059,ABGHIPU,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,APU,A,P,U,1,0,1,0,0,0,0,0, ,Gindewoyin,None,1
1060,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCD,B,C,D,1,0,0,0,0,0,0,0, ,GINDEWEYINI,NONE,1
1117,ABDGHP,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,0,0,0, ,KERNO WARAI,SEDIE GIORGIS,0
1118,ABMP,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,ABM,A,B,M,0,0,1,0,1,1,0,0, ,SEDE,EROB GEBEYA,0
1120,ABGHP,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ABP,A,B,P,1,1,1,0,0,1,0,0, ,KERNO WARAI,SEDIE GIORGIS,0
1121,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,G,G, , ,0,0,1,1,0,0,0,0, ,KERNEWARI,MOTA,0
1122,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,0,0, ,SEDE,EROB GEBEYA,1
1124,AGSU,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,AGU,A,G,U,1,1,1,1,1,1,0,0, ,sedie,kerene,1
1127,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,0,0,0,0,0, ,SEDE,EROB GEBEYA,0
1131,AGIST,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,AST,A,S,T,1,1,1,1,0,0,0,0, ,sedie,kerenewary,0
1344,HKP,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,P,P, , ,0,0,1,0,0,0,0,0, ,AMBA LAYE (GEYE),MEHAL MEDA,1
1346,ABDIST,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,BDI,B,D,I,1,1,1,1,0,0,0,0, ,gaye,none,1
1347,ABHJLP,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,ABP,A,B,P,0,0,1,0,0,0,0,0, ,GEY,MEHALMEDA,1
1349,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,0,0,0,0,0, ,AMBALAY,MAHILMEDA,1
1350,APU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,APU,A,P,U,1,0,1,0,0,1,0,0, ,Gey,Mahilmeda,0
1352,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,1,1,0,1,0,0, ,GAY,MEHAL MEDA,1
1354,BGK,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,G,G, , ,0,0,1,0,0,0,0,0, ,AMBA LAYE (GEYE),MEHAL MEDA,0
1356,ABCDFGHP,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,1,0,0, ,AMEBALAY,MEHALMEDA,1
1357,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,0,0,0,0,0,0, ,AMBALAY,MAHILMEDA,1
1358,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,0,0,0,0,0,0, ,GEY,MEHALMEDA,1
1359,ABCIST,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,BCI,B,C,I,1,1,1,1,0,0,0,0, ,mahal meda,gaye,1
1379,ABLMPS,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,APS,A,P,S,0,1,1,0,1,1,0,0, ,KOTU,NONE,1
1380,ABCH,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,0,0, ,KOTU,HAGERMATIYAM,1
1381,ABCHJN,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,0,0, ,KOTU,NONE,0
1382,ABCDEFGHPU,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,ACP,A,C,P,1,1,1,0,0,1,0,0, ,KOTU,SHOLA GEBEYA,1
1383,ABCJMP,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,BMP,B,M,P,1,0,1,0,0,1,0,0, ,KOTU,NO,1
1385,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,B, , ,0,1,1,1,1,1,1,0, ,COTU,NONE,1
1386,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,B, , ,0,1,1,1,1,1,0,0, ,COTU,NONE,0
1387,ABCDFGHP,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,1,0,0, ,KOTU,HAMUS GEBEYA,1
1388,ABPU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BPU,B,P,U,1,0,1,0,0,0,0,0, ,Kotu,None,1
1390,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,P,P, , ,0,0,1,1,1,1,0,0, ,COTU,NONE,1
1391,ABLMP,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,BLM,B,L,M,1,0,1,0,1,1,0,0, ,KOTU,SHENO,0
1393,ABGH,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G,1,1,1,1,1,1,0,0, ,kottu,none,1
1394,ABGST,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,ABG,A,B,G,1,1,1,1,1,1,1,0, ,billi,soye,1
1396,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,1,0, ,billi,none,1
1397,ABCH,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BCH,B,C,H,1,1,1,1,0,0,0,0, ,MEKANESELAM,BILI,1
1398,BGP,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,P,P, , ,0,1,1,0,0,0,0,0, ,BILI,DEBRE SINA,1
1399,ABCDFGHP,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,1,0,0, ,BILE,MEKANE SELAM OR SOYAI,0
1400,ABCDFHP,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,1,0,0, ,BILE,MEKANE SELAM OR SOYAI,0
1502,ABMPS,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,ABP,A,B,P,1,0,1,0,0,1,0,0, ,BILI,MEKANESELAM,1
1504,ABCHJ,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,0,0,0,0,0, ,MEKANE SELAM,BILI,1
1505,ABCFGP,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AFP,A,F,P,1,1,1,0,0,1,0,0, ,BILE,MEKANE SELAM OR SOYAI,1
1506,ABCFGHP,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AHP,A,H,P,1,1,1,0,0,0,0,0, ,BILE,MEKANE SELAM OR SOYAI,0
1507,ABMP,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,ABP,A,B,P,1,0,1,0,0,0,0,0, ,BILI,EHUDIT,1
1508,ABJ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ABJ,A,B,J,1,1,1,0,0,0,0,0, ,MEKANESELAM,BILI,1
1509,ABIS,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,ABI,A,B,I,1,1,1,1,0,0,0,0, ,mekane selam,none,1
1559,ABGHS,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,AGS,A,G,S,1,1,0,0,0,0,0,0, ,METAYA,NONE,0
1561,ABCDFGHP,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AGP,A,G,P,1,1,1,0,0,1,0,0, ,GENDE WOIN,NONE,1
1562,AGLS,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,AGS,A,G,S,1,1,1,1,1,1,0,0, ,lumame,none,1
1563,ABDGIS,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,ABG,A,B,G,1,0,1,0,0,0,0,0, ,sheno,none,0
1895,ABGHI,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AGI,A,G,I,1,1,1,1,1,1,0,0, ,sedie,kerenuary,1
1897,CGP,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,G,G, , ,1,0,0,0,0,0,0,0, ,SEYDI,NONE,1
1899,ABCDFH,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,0,0,0,0,0, ,SEDE,EROB GEBEYA,1
1923,ABCDS,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ABC,A,B,C,0,0,1,1,1,1,0,0, ,mengesto,woyera,0
1925,ABCE,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,0,0,0,0,0,0,0, ,MENGISTU,BICHENA,0
1926,AEF,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F,0,0,1,0,1,1,0,0, ,mengesto,none,0
1930,ABI,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ABI,A,B,I,1,1,1,0,0,0,1,0, ,MENGISTU,SEGNOGEBEYA,1
1931,ABU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ABU,A,B,U,0,0,1,0,0,1,0,0, ,Debregenet,Gotera,0
1932,ABCHKS,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,AKS,A,K,S,0,0,1,0,0,1,0,0, ,MENGISTU,NONE,0
1933,ACHKS,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,AHS,A,H,S,0,1,1,0,0,1,0,0, ,MENGISTU,WEYERA,0
1934,ACG,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,G, , ,1,1,1,1,1,1,0,0, ,MENGESTO GEBYA,BICHENA,1
1935,AGJ,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,G, , ,1,0,1,1,1,1,0,0, ,MENGESTO GEBYA, BICHENA,1
1936,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,0,1,1,1,1,1,1,0, ,AZENA,NONE,0
1938,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C,1,1,1,1,1,1,1,0, ,NA,NA,1
1942,ACJ,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ACJ,A,C,J,1,0,0,0,1,0,0,0, ,AZENA,NONE,1
1944,ABDGHU,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AHU,A,H,U,1,1,1,0,0,0,0,0, ,AZENA,NONE,0
