HH_Id,SocioEconomic_Intro_M,Module_Resp_M,Next_Season_Plan_M,Wheat_Area_Change _M,WArea_Change_CovidEff_M,Wheat_Replace_Crop_M,Wheat_Replace_OthrCrop_M,Wheat_ReplaceBy_Crop_M,Wheat_ReplaceBy_OthrCrop_M,Wheat_Cult_NextSeason_Yn_M,Wheat_Area_Change_Rsn _M,Wheat_Area_Change_OthrRsn _M,WheatSeed_Qnt_Change_M,Increse_Input_Yn_M,Increse_Input_Rsn_M,Increse_Input_OthrRsn_M,Wheat_Constraints_M,WConstraints_SeedAvlblty_M,WConstraints_SeedPrice_M,WConstraints_SeedQlty_M,WConstraints_SeedCredit_M,WConstraints_FertAvlblty_M,WConstraints_FertPrice_M,WConstraints_FertCredit_M,WConstraints_QltyChemFert_M,WConstraints_HumanLabour_M,WConstraints_WageRate_M,WConstraints_SkilledLabour_M,WConstraints_AvlbltyChemHerb_M,WConstraints_HerbicidePrice_M,WConstraints_HerbicideCredit_M,WConstraints_QltyHerbicide_M,WConstraints_OutputMrkt_M,WConstraints_AccessInfo_M,WConstraints_GrainPrice_M,WConstraints_AvlbltyFamLab_M,WConstraints_Drought_M,WConstraints_Flood_M,WConstraints_Heat_M,WConstraints_Pest_M,WConstraints_Disease_M,WConstraints_SoilFert_M,WConstraint_Rank_M,WConstraint_Rank1_M,WConstraint_Rank2_M,WConstraint_Rank3_M
570,1,1,1,2,0,, ,5, ,1,8, ,0,1,, ,ABCDEFGHILM,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
571,1,1,1,1,0,99,hircot bean,, ,,2, ,1,,2, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EFX,E,F,X
572,1,1,1,1,0,5, ,, ,,13, ,1,,6, ,EFG,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
573,1,1,1,1,0,99,barley,, ,,99,crop rotation,1,,2, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EFX,E,F,X
574,1,1,1,1,0,99,BARELY,, ,,13, ,1,,10, ,ABEFJLMWXY,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,FWY,F,W,Y
575,1,1,1,1,0,19, ,, ,,1, ,1,,13, ,ABEFMWXY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,FMY,F,M,Y
576,1,1,1,1,0,19, ,, ,,1, ,1,,10, ,ABCEFMWXY,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,AEF,A,E,F
943,1,1,1,1,0,2, ,, ,,1, ,1,,2, ,ABDFGH,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABD,A,B,D
944,1,1,1,3,,, ,, ,,, ,1,,1, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
945,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCEFG,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
946,1,1,1,1,0,5, ,, ,,1, ,1,,8, ,ABCEFJLMWXY,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,AFX,A,F,X
948,1,1,1,3,,, ,, ,,, ,1,,13, ,AEFG,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
949,1,1,1,3,,, ,, ,,, ,0,0,, ,EVX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,X,X, , 
951,1,1,1,3,,, ,, ,,, ,1,,1, ,ABDEF,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
952,1,1,1,3,,, ,, ,,, ,0,0,, ,ABFLMX,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,AFX,A,F,X
956,1,1,1,1,0,99,haircot bean,, ,,2, ,1,,2, ,AEFLM,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ELM,E,L,M
957,1,1,1,3,,, ,, ,,, ,0,0,, ,EFL,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,EFL,E,F,L
958,1,1,1,3,,, ,, ,,, ,0,1,, ,ADGI,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADG,A,D,G
959,1,1,1,2,0,, ,5, ,1,1, ,0,1,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
960,1,1,1,3,,, ,, ,,, ,0,0,, ,ABFX,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ABF,A,B,F
961,1,1,1,1,0,0, ,, ,,2, ,1,,6, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
962,1,1,1,3,,, ,, ,,, ,1,,8, ,ABCEFY,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
963,1,1,1,1,0,2, ,, ,,1, ,1,,1, ,BDFG,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BFG,B,F,G
964,1,1,1,3,,, ,, ,,, ,0,1,, ,BFX,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
965,1,1,1,1,0,99,Barely,, ,,13, ,0,0,, ,EFI,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFI,E,F,I
967,1,1,1,1,0,99,barley,, ,,99,crop rotation,1,,99,crop rotation,BFNOX,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,BFO,B,F,O
968,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCEFY,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
969,1,1,1,3,,, ,, ,,, ,0,1,, ,BFX,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
971,1,1,1,1,0,0, ,, ,,13, ,0,0,, ,ADEFY,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DEY,D,E,Y
973,1,1,1,3,,, ,, ,,, ,0,0,, ,ABEFUX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,ABF,A,B,F
1047,1,1,1,3,,, ,, ,,, ,0,0,, ,ABDEF,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,D,E,F
1048,1,1,1,1,0,19, ,, ,,13, ,1,,13, ,ABEX,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ABX,A,B,X
1049,1,1,1,3,,, ,, ,,, ,0,0,, ,CEF,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C, , 
1050,1,1,1,2,0,, ,19, ,1,1, ,1,,11, ,ABCEI,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1051,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,D,E,F
1052,1,1,1,2,0,, ,19, ,0,1, ,1,,1, ,ABEFLMX,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,AEF,A,E,F
1055,1,1,1,2,0,, ,19, ,0,1, ,1,,1, ,EFLM,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EFL,E,F,L
1056,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1057,1,1,1,3,,, ,, ,,, ,1,,1, ,ACV,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACV,A,C,V
1058,1,1,1,1,0,19, ,, ,,13, ,1,,13, ,ABEFHMNY,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,EFM,E,F,M
1059,1,1,1,1,0,19, ,, ,,13, ,0,1,, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
1060,1,1,1,1,1,19, ,, ,,1, ,0,1,, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
1117,1,1,1,1,0,19, ,, ,,1, ,1,,13, ,ABEFGLMY,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,AEY,A,E,Y
1118,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1120,1,1,1,1,0,19, ,, ,,1, ,1,,6, ,ABEFLMTY,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,AEF,A,E,F
1121,1,1,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1122,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCDEFMOWX,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,BFM,B,F,M
1124,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1127,1,1,1,2,0,, ,6, ,1,1, ,0,1,, ,ABCDEFG,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCD,B,C,D
1131,1,1,1,3,,, ,, ,,, ,0,0,, ,ABCEFWX,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,ABE,A,B,E
1344,1,1,1,3,,, ,, ,,, ,0,1,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1346,1,1,1,1,0,99,barely,, ,,99,crop rotation,1,,99,crop rotation,FX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FX,F,X, 
1347,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1349,1,1,1,1,0,0, ,, ,,2, ,0,0,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,D,E,F
1350,1,1,1,1,0,5, ,, ,,8, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
1352,1,1,1,3,,, ,, ,,, ,1,,1, ,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1354,1,1,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1356,1,1,1,1,0,99,BARELY,, ,,11, ,1,,8, ,BEFMY,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,FMY,F,M,Y
1357,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCDEFGHI,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1358,1,1,1,2,0,, ,2, ,0,1, ,1,,1, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
1359,1,1,1,2,0,, ,99,barley,1,99,crop rotation,1,,99,crop rotation,ABEFX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BFX,B,F,X
1379,1,1,1,3,,, ,, ,,, ,0,1,, ,ABEFGH,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
1380,1,1,1,3,,, ,, ,,, ,1,,1, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CDE,C,D,E
1381,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1382,1,1,1,1,0,5, ,, ,,13, ,1,,8, ,ABEFLWX,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,FWX,F,W,X
1383,1,1,1,1,0,2, ,, ,,2, ,1,,1, ,ABE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1385,1,3,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1386,1,1,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1387,1,1,1,2,0,, ,5, ,1,13, ,1,,8, ,ABEFMOVWX,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,AFX,A,F,X
1388,1,1,1,2,0,, ,5, ,0,12, ,0,0,, ,DEFG,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1390,1,1,1,3,,, ,, ,,, ,0,1,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1391,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1393,1,3,1,3,,, ,, ,,, ,0,0,, ,ABFLMWX,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,MWX,M,W,X
1394,1,1,1,2,0,, ,19, ,0,1, ,0,0,, ,ABDEFGH,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABD,A,B,D
1396,1,1,1,1,0,2, ,, ,,2, ,1,,2, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1397,1,1,1,2,0,, ,19, ,1,1, ,0,1,, ,ABEFG,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1398,1,1,1,3,,, ,, ,,, ,0,0,, ,ABF,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B, , 
1399,1,1,1,1,0,19, ,, ,,1, ,1,,13, ,ABDEFMY,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,AFY,A,F,Y
1400,1,1,1,1,0,19, ,, ,,1, ,1,,10, ,ABEFLMY,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,AFY,A,F,Y
1502,1,1,1,3,,, ,, ,,, ,0,1,, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
1504,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
1505,1,1,1,1,0,19, ,, ,,10, ,1,,8, ,ABEFMY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
1506,1,1,1,1,0,19, ,, ,,1, ,1,,8, ,ABCEFMY,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
1507,1,1,1,3,,, ,, ,,, ,0,0,, ,ABEFG,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1508,1,1,1,2,0,, ,19, ,1,1, ,0,1,, ,ABCDEFG,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,D,E,F
1509,1,1,1,3,,, ,, ,,, ,0,0,, ,ABDEFM,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
1559,1,1,1,1,0,19, ,, ,,13, ,1,,13, ,ABEFLMY,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,AEL,A,E,L
1561,1,1,1,1,0,19, ,, ,,10, ,1,,6, ,AEFLMWXY,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,EFM,E,F,M
1562,1,1,1,1,0,19, ,, ,,99,crop rotation,1,,2, ,BX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BX,B,X, 
1563,1,1,1,2,0,, ,99,barley,0,99,crop rotation,1,,99,crop rotation,ABEFX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ABE,A,B,E
1895,1,1,1,1,0,3, ,, ,,6, ,1,,6, ,ABEFW,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ABE,A,B,E
1897,1,1,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1899,1,1,1,3,,, ,, ,,, ,1,,1, ,ABDEFG,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1923,1,1,1,2,0,, ,19, ,1,1, ,1,,1, ,BCF,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCF,B,C,F
1925,1,1,1,1,0,19, ,, ,,11, ,0,1,, ,ABCEFG,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1926,1,1,1,4,,, ,, ,,, ,2,,, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1930,1,1,1,3,,, ,, ,,, ,1,,2, ,AEG,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEG,A,E,G
