HH_Id,SocialNetwork_Intro_M,Num_YrsIn_Kebele_M,Reltv_InKebele_FinanceNeed_M,Frnds_InKebele_FinanceNeed_M,Acquint_InKebele_FinanceNeed_M,Reltv_OutKebele_FinanceNeed_M,Frnds_OutKebele_FinanceNeed_M,Acquint_OutKebele_FinanceNeed_M,Reltv_Kebele_LeaderPositn_M,Frnds_Kebele_LeaderPositn_M,Acquint_Kebele_LeaderPositn_M,Reltv_InKebele_QltySeed_M,Frnds_InKebele_QltySeed_M,Acquint_InKebele_QltySeed_M,Reltv_OutKebele_QltySeed_M,Frnds_OutKebele_QltySeed_M,Acquint_OutKebele_QltySeed_M,Reltv_InKebele_GrainTrader_M,Frnds_InKebele_GrainTrader_M,Acquint_InKebele_GrainTrader_M,Reltv_OutKebele_GrainTrader_M,Frnds_OutKebele_GrainTrader_M,Acquint_OutKebele_GrainTrader_M,Reltv_InKebele_InfoAccess_M,Frnds_InKebele_InfoAccess_M,Acquint_InKebele_InfoAccess_M,Reltv_OutKebele_InfoAccess_M,Frnds_OutKebele_InfoAccess_M,Acquint_OutKebele_InfoAccess_M,Traders_Trust_Yn_M,Trader_Trust_Type_M,Trader_Trust_Type_Othr_M,Trader_Trust_Why_M,Rely_GovSupp_Yn_M,Rely_GovSupp_Covid_M,GovOfficial_Skill_Conf_M
383,1,46,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
385,1,38,0,5,0,2,1,0,5,1,0,1,2,0,1,1,0,0,0,0,0,0,0,3,5,0,2,2,0,6,, , ,1,1,6
386,1,48,5,2,1,4,2,1,5,3,0,3,1,0,3,1,0,3,1,1,5,2,1,4,2,1,6,3,1,1,3, ,They're Loyal,1,1,3
388,1,51,1,0,0,1,0,0,1,1,0,3,2,1,2,1,1,0,0,0,0,0,0,2,2,0,2,2,0,1,6, , ,1,1,4
389,1,58,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
390,1,38,6,4,3,8,10,2,5,1,1,2,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,0,0,2,6, , ,1,0,4
391,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,3,1, ,NONE,1,1,5
392,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6, , ,0,0,4
393,1,76,6,3,1,7,4,2,5,2,1,4,2,1,3,2,1,5,2,1,7,4,2,6,3,1,8,4,2,2,3, ,They Are More Loyal than Others,0,0,3
394,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,5
395,1,66,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,5,2,3,1,0,0,5,, , ,1,1,4
529,1,36,2,1,0,1,0,0,1,4,2,1,1,0,1,0,0,1,1,0,1,1,0,3,2,1,4,1,0,1,6, , ,1,0,3
531,1,31,6,3,1,5,3,1,4,2,1,1,1,0,2,1,0,3,2,1,4,2,1,8,5,3,9,5,3,2,1, ,They're Relatively Loyal,1,1,3
532,1,73,2,6,0,0,0,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,2,2,1,0,0,0,2,6, , ,0,0,4
533,1,52,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,1,0,1,6, , ,1,1,3
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
536,1,64,5,1,1,6,2,1,7,1,1,3,1,1,1,0,0,2,1,0,2,1,1,7,3,2,9,3,1,2,1, ,They're Relatively Loyal,0,0,2
537,1,41,3,2,0,3,5,0,3,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,6, , ,0,0,4
538,1,33,6,4,3,5,4,2,3,6,3,6,4,2,10,5,2,2,3,0,3,4,0,10,7,4,10,5,2,2,6, , ,0,0,4
539,1,51,5,3,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,6, , ,0,0,1
561,1,35,5,7,5,10,10,5,5,7,3,5,7,5,0,0,0,0,0,0,0,10,15,8,10,10,5,10,5,4,, , ,0,0,3
563,1,67,0,0,0,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,9,5,4,5,3,0,2,6, , ,1,0,1
564,1,40,4,5,6,8,5,10,4,3,4,5,6,7,3,2,6,0,0,0,0,0,4,6,7,7,8,5,6,5,, , ,1,1,4
565,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
567,1,44,10,2,3,0,10,3,0,8,5,10,18,0,0,0,0,0,5,5,0,0,0,2,3,5,2,2,3,5,, , ,1,0,5
568,1,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,6, , ,0,0,1
569,1,51,3,5,2,2,0,0,0,2,0,2,4,0,0,0,0,0,2,6,0,0,0,2,3,2,1,0,2,3,6, , ,0,0,5
570,1,56,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,6, , ,0,0,2
571,1,66,0,0,0,0,0,0,0,5,0,2,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
572,1,49,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,5,0,4,5,0,1,6, , ,1,0,1
573,1,45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,3
574,1,74,8,3,1,10,4,1,11,3,1,4,1,0,5,1,0,4,1,0,7,3,1,13,7,3,16,9,3,2,3, ,They're Relatively Loyal,1,1,5
575,1,58,5,3,1,7,3,1,11,5,2,4,1,0,8,3,1,4,1,0,9,4,1,11,7,2,15,8,3,2,3, ,They're Relatively Loyal,0,0,2
576,1,44,6,2,1,9,4,1,11,7,2,4,1,0,5,2,0,3,1,0,5,2,1,11,8,2,15,9,3,2,2, ,They're Provide In according of their needs,0,0,2
943,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,1
944,1,76,1,2,0,3,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,4,, , ,0,0,1
945,1,48,3,2,0,2,2,0,1,2,0,1,2,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,1,6, , ,0,0,4
946,1,62,5,2,1,5,3,2,4,2,1,3,1,1,2,2,1,3,2,1,4,2,1,5,3,2,6,4,2,2,1, ,They're Relatively Loyal,1,1,5
948,1,40,8,5,3,5,2,2,4,2,0,5,4,0,3,2,0,2,0,0,0,0,0,13,6,0,9,2,0,5,, , ,1,0,5
949,1,33,10,12,15,20,15,10,3,0,10,10,5,4,30,10,8,10,12,8,20,15,10,5,4,20,15,8,10,6,, , ,1,1,5
951,1,41,2,3,0,2,0,0,0,1,2,1,2,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,0,2,6, , ,0,0,4
952,1,60,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,8,0,6,, , ,1,1,6
956,1,52,2,0,0,2,0,0,0,10,3,4,2,0,2,0,0,0,6,0,1,0,0,4,6,0,2,2,0,2,6, , ,0,0,6
957,1,60,0,0,0,2,1,0,4,4,0,2,3,0,2,2,0,1,1,0,0,0,0,15,6,0,2,1,0,1,6, , ,1,0,1
958,1,60,2,2,0,0,0,0,3,1,0,2,3,0,0,0,0,2,3,1,0,0,0,2,5,1,0,1,0,5,, , ,0,0,5
959,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
960,1,66,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,2,0,1,6, , ,0,0,1
961,1,43,3,4,0,1,2,0,2,2,0,1,2,0,1,1,0,0,1,0,0,1,0,2,2,0,1,1,0,5,, , ,0,1,5
962,1,44,4,1,2,5,2,1,6,3,2,2,1,1,3,1,1,5,3,1,6,3,2,5,2,3,7,5,3,2,6, , ,1,1,5
963,1,37,3,4,0,5,6,0,1,2,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,5,, , ,0,0,5
964,1,25,2,4,5,0,0,3,0,0,3,0,0,1,0,0,0,5,3,5,0,0,0,4,3,5,2,3,0,4,, , ,1,1,4
965,1,54,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,2,0,0,0,1,6, , ,1,0,5
967,1,50,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,1,5,0,3,2, ,trust ful by their relegious,1,1,2
968,1,61,5,2,1,4,3,2,6,3,2,4,1,1,4,1,1,2,1,0,3,2,1,6,3,2,7,4,2,2,6, , ,0,0,2
969,1,44,3,5,4,2,5,5,2,3,2,3,5,3,2,4,3,0,1,1,1,1,2,3,3,4,4,3,2,5,, , ,1,1,5
971,1,44,0,2,1,3,0,0,2,5,1,7,3,0,0,0,0,0,0,0,0,0,0,6,3,0,11,5,3,2,6, , ,0,0,5
973,1,36,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,1,0,1,6, , ,1,1,1
1047,1,38,2,3,0,0,0,0,0,0,0,2,3,2,0,0,0,2,2,0,0,0,0,2,3,0,0,0,0,2,6, , ,0,0,5
1048,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,5
1049,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,4,, , ,1,1,4
1050,1,30,10,5,4,10,3,0,4,0,0,2,1,3,2,1,0,2,1,0,3,2,0,0,0,0,0,0,0,4,, , ,0,0,5
1051,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,0,0,2
1052,1,74,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,6,0,10,3,0,1,6, , ,0,0,2
1055,1,45,0,0,0,0,0,0,6,5,0,2,5,0,0,0,0,0,0,0,0,0,0,15,10,0,4,5,0,5,, , ,1,1,5
1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1057,1,61,0,3,0,0,3,0,0,0,0,5,0,5,3,3,2,0,0,0,0,0,0,2,3,5,0,0,0,2,6, , ,0,0,5
1058,1,36,3,1,0,5,2,0,3,1,0,2,0,0,3,1,0,4,1,0,6,2,0,7,3,1,9,4,1,2,3, ,They're are relatively loyal,1,1,3
1059,1,35,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,, , ,1,0,5
1060,1,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,3
1117,1,42,4,2,1,5,2,1,7,3,1,3,1,0,4,1,0,4,1,0,6,2,0,8,4,1,11,7,2,2,3, ,They're Relatively Loyal,1,1,5
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1120,1,43,5,2,1,6,2,1,8,3,1,3,1,0,4,1,0,4,1,0,7,3,1,8,5,1,11,6,2,2,3, ,They're Relatively Loyal,1,1,2
1121,1,41,1,2,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,1,0,0,5,2,2,4,0,0,0,4,, , ,1,1,4
1122,1,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1127,1,62,3,2,0,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
1131,1,44,0,0,0,2,3,0,2,4,0,0,0,0,2,0,0,0,0,0,6,10,0,6,15,2,10,25,0,6,, , ,0,0,2
1344,1,32,5,2,4,7,1,2,3,1,5,10,5,12,15,8,10,4,6,5,7,5,6,10,7,10,15,10,5,3,1, ,NONE,1,1,2
1346,1,58,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,2,0,1,6, , ,1,1,5
1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1349,1,32,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,0,5
1350,1,30,6,3,2,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,7,5,2,3,0,1,6, , ,1,0,3
1352,1,38,5,5,10,4,3,0,1,2,5,5,5,10,0,0,0,5,5,10,0,0,0,4,3,5,2,2,0,4,, , ,0,0,2
1354,1,41,0,0,0,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,3,2,6, , ,1,1,2
1356,1,36,3,2,1,6,2,1,3,2,1,2,1,1,2,1,0,3,2,1,5,3,2,6,3,2,5,3,1,2,3, ,They're Relatively Loyal,0,0,3
1357,1,60,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6, , ,0,0,1
1358,1,35,3,5,2,10,5,0,2,3,1,3,4,2,0,0,0,2,3,2,1,2,0,2,3,2,1,0,0,2,6, , ,0,0,4
1359,1,49,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,5,5,10,0,1,6, , ,1,1,5
1379,1,46,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,1,0,0,0,5,, , ,0,0,5
1380,1,87,1,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,6, , ,0,0,5
1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1382,1,51,10,7,3,11,7,4,8,4,2,3,1,1,5,2,1,4,2,1,5,3,2,10,5,3,12,6,3,2,1, ,They're Relatively Loyal,0,1,2
1383,1,61,3,3,0,3,3,0,0,0,0,3,3,0,2,2,0,3,3,0,2,2,0,2,2,2,1,1,0,1,6, , ,0,0,1
1385,1,67,2,3,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,3,4,1,5,1,1,0,2,6, , ,1,1,5
1386,1,65,1,2,10,6,1,2,5,2,3,3,2,10,2,2,1,0,0,0,0,0,3,2,2,4,5,2,2,2,6, , ,1,1,5
1387,1,49,6,4,2,8,4,2,5,2,1,3,1,1,3,1,0,5,2,1,6,3,2,6,2,1,7,4,2,2,3, ,They're Relatively Loyal,1,1,3
1388,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,6, , ,1,0,6
1390,1,65,0,0,0,3,1,1,2,0,1,1,1,0,2,1,1,0,0,0,1,1,3,2,3,5,1,1,2,4,, , ,1,1,5
1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1393,1,58,3,1,0,5,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,6,, , ,0,0,6
1394,1,56,0,0,0,0,0,0,1,5,0,2,5,0,0,0,0,0,0,0,0,0,0,2,5,0,2,4,0,2,6, , ,1,1,1
1396,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,4,0,1,6, , ,1,1,1
1397,1,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,6, , ,0,0,3
1398,1,66,0,0,0,0,0,0,1,3,3,1,0,1,0,0,0,0,0,1,0,0,2,3,3,5,1,0,0,5,, , ,1,1,4
1399,1,44,5,2,1,7,4,1,9,5,2,4,1,1,5,2,1,5,1,1,8,4,1,11,7,2,15,9,2,2,3, ,They're Relatively Loyal,1,1,2
1400,1,38,4,1,1,5,1,1,8,3,1,3,1,0,4,1,1,5,2,1,8,4,1,7,4,1,11,6,2,2,3, ,Relatively They're Are Loyal,0,0,2
1502,1,38,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,6, , ,1,0,5
1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1505,1,58,4,1,1,5,1,1,8,3,1,3,1,0,4,1,0,5,2,1,9,4,1,9,5,1,11,7,2,2,3, ,They're Relatively Loyal,0,0,3
1506,1,54,5,2,1,6,2,1,9,4,1,3,1,0,3,1,0,4,1,1,7,3,1,11,6,3,13,8,2,2,3, ,They're Relatively Loyal,0,0,2
1507,1,48,5,5,1,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,1,6, , ,0,0,4
1508,1,48,2,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
1509,1,67,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,4,5,0,5,2,0,5,, , ,1,1,1
1559,1,42,4,2,0,3,1,0,4,2,0,3,1,0,5,2,1,6,3,1,7,3,1,6,3,1,8,4,2,2,1, ,They're Loyal and Reliable,1,1,4
1561,1,46,3,1,0,4,1,1,2,0,0,2,0,0,3,1,0,5,2,1,7,3,1,6,2,1,7,3,1,2,3, ,They're Loyal,0,0,3
1562,1,56,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,6
1563,1,72,2,1,0,2,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,6, , ,1,1,2
1895,1,47,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,4,0,1,6, , ,0,0,3
1897,1,51,5,5,4,0,5,2,0,0,2,2,4,0,0,0,0,0,0,6,0,0,0,5,3,3,2,0,4,2,6, , ,1,1,5
1899,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,1,3
1923,1,42,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,3, ,supplyes quality product,1,0,6
1925,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,1
1926,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,6, , ,1,1,6
1930,1,44,3,4,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,6, , ,1,1,2
1931,1,48,12,12,5,12,12,6,0,0,0,1,2,0,2,0,0,3,2,5,5,2,1,15,10,5,3,4,3,2,3, ,We Trust Assemblers Than OtherS,1,0,5
1932,1,36,3,1,1,2,1,0,4,2,0,2,1,0,3,1,0,3,1,0,5,1,1,5,3,1,7,3,2,2,3, ,Relatively they are loyal,0,0,2
1933,1,59,4,2,0,5,2,1,3,1,0,2,0,1,3,1,0,4,2,0,6,3,1,6,2,1,7,3,1,2,3, ,Relatively they're loyal,1,1,5
1934,1,54,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,2,3,0,0,0,5,, , ,1,1,5
1935,1,33,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,5,2,3,0,0,0,3,1, ,NONE,1,1,5
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1938,1,45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,6
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1944,1,48,5,5,5,3,3,2,2,3,1,2,2,2,0,0,0,0,0,0,0,0,0,4,4,5,3,2,0,2,2, ,THERE IS No CHEATING,0,0,4
1945,1,56,1,4,0,1,0,0,0,0,1,2,2,3,0,0,0,1,1,2,0,0,0,2,3,4,0,0,0,2,1, ,Nena,1,0,5
1947,1,66,4,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,4,, , ,0,0,4
1949,1,58,15,5,3,5,5,3,4,3,3,3,4,2,3,2,2,5,4,4,5,4,3,5,4,3,7,5,3,2,3, ,Accept Pre Order Cash Agreement,0,0,5
1950,1,44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,5,, , ,0,0,5
1951,1,70,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,1,1,5
1952,1,70,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,5,0,0,0,0,1,3, ,relatively they are trust ful,1,1,5
1953,1,46,9,5,3,8,5,3,7,5,3,5,2,2,4,2,1,6,4,3,5,3,2,8,5,4,7,5,3,1,3, ,They Give Us Advance Cash Considering the Future Yelled,1,1,4
1954,1,41,6,2,1,9,5,2,12,7,2,3,1,0,4,1,0,8,4,1,13,6,3,15,8,3,15,7,3,2,2, ,They're Relatively Loyal,1,1,5
1955,1,46,5,2,1,7,4,1,9,4,2,3,1,0,5,2,1,5,1,1,8,4,1,12,8,2,15,7,5,2,2, ,Relatively They're Are Loyal,1,1,2
1957,1,55,1,2,2,3,1,1,0,2,4,1,2,1,0,0,0,0,0,2,0,1,4,4,3,5,3,2,2,4,, , ,1,1,4
1960,1,48,4,0,0,4,0,0,4,30,0,4,20,0,2,5,0,0,4,0,0,0,0,4,4,0,5,6,0,1,6, , ,1,1,3
1961,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,2
1962,1,65,2,1,0,3,2,0,5,4,0,1,1,0,0,0,0,0,1,0,1,0,0,5,40,0,10,12,0,1,6, , ,1,1,1
1963,1,62,8,4,2,11,7,2,15,6,3,4,1,0,6,2,1,7,3,1,11,6,3,13,8,2,15,9,4,2,3, ,They're Relatively Loyal,1,1,5
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1967,1,46,1,3,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,2,0,4,, , ,0,0,4
1968,1,50,0,4,2,5,0,3,0,0,0,4,5,3,4,0,0,0,0,0,0,0,0,3,4,2,0,0,0,2,6, , ,0,0,2
1969,1,52,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,1,2,2,0,1,0,2,6, , ,0,0,5
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
1976,1,46,4,2,1,6,2,1,7,3,1,3,1,0,4,1,0,5,1,1,8,4,1,8,5,1,12,8,2,2,3, ,They're Relatively Loyal,1,1,5
1978,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,6, , ,0,0,4
1980,1,38,5,2,1,6,2,1,7,2,1,2,0,1,4,1,1,5,1,1,11,4,2,15,6,3,18,8,5,2,3, ,They're Relatively Loyal,0,0,5
1991,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,6, , ,0,0,5
1992,1,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,, , ,0,0,5
1993,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,, , ,1,0,5
1994,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,0,5,, , ,1,1,5
1995,1,59,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,6, , ,0,0,2
1996,1,44,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,3,1,0,0,2,3,4,0,0,0,4,, , ,1,1,4
1997,1,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,, , ,1,1,4
