HH_Id,SocialNetwork_Intro,Num_YrsIn_Kebele,Reltv_InKebele_FinanceNeed,Frnds_InKebele_FinanceNeed,Acquint_InKebele_FinanceNeed,Reltv_OutKebele_FinanceNeed,Frnds_OutKebele_FinanceNeed,Acquint_OutKebele_FinanceNeed,Reltv_Kebele_LeaderPositn,Frnds_Kebele_LeaderPositn,Acquint_Kebele_LeaderPositn,Reltv_InKebele_QltySeed,Frnds_InKebele_QltySeed,Acquint_InKebele_QltySeed,Reltv_OutKebele_QltySeed,Frnds_OutKebele_QltySeed,Acquint_OutKebele_QltySeed,Reltv_InKebele_GrainTrader,Frnds_InKebele_GrainTrader,Acquint_InKebele_GrainTrader,Reltv_OutKebele_GrainTrader,Frnds_OutKebele_GrainTrader,Acquint_OutKebele_GrainTrader,Reltv_InKebele_InfoAccess,Frnds_InKebele_InfoAccess,Acquint_InKebele_InfoAccess,Reltv_OutKebele_InfoAccess,Frnds_OutKebele_InfoAccess,Acquint_OutKebele_InfoAccess,Traders_Trust_Yn,Trader_Trust_Type,Trader_Trust_Type_Othr,Trader_Trust_Why,Rely_GovSupp_Yn,Rely_GovSupp_Covid,GovOfficial_Skill_Conf
1504,1,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
1505,1,49,4,1,0,5,2,1,8,4,1,3,1,0,4,1,0,5,2,1,9,5,1,11,7,2,13,7,2,2,3, ,They're Relatively Loyal,1,1,5
1506,1,20,4,1,1,5,2,0,8,3,1,3,1,0,4,1,0,6,4,1,8,4,1,9,4,2,11,7,2,4,, , ,1,1,5
1507,1,40,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6, , ,0,0,5
1508,1,40,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,1
1509,1,50,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2,0,5,1,0,5,, , ,1,1,3
1559,1,33,4,2,1,5,2,1,3,1,0,6,3,0,3,1,0,4,1,1,5,3,0,6,3,1,8,4,1,2,3, ,They're Loyal,1,1,5
1561,1,39,4,2,0,5,2,1,2,1,0,3,1,0,3,1,0,4,1,1,6,2,1,6,3,1,7,4,1,2,3, ,They're Relatively Loyal,1,1,5
1562,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
1563,1,60,2,0,0,3,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,5,0,0,0,0,1,6, , ,0,0,4
1895,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,4,0,1,6, , ,1,1,1
1897,1,26,5,5,4,0,5,2,0,0,2,2,4,0,0,0,0,0,0,6,0,0,0,5,3,3,2,0,4,3,6, , ,1,1,4
1899,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
1923,1,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,6, , ,1,1,5
1925,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,1
1926,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
1930,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
1931,1,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6, , ,1,0,6
1932,1,8,3,1,0,2,1,0,3,1,0,2,0,0,2,1,0,3,1,1,6,2,1,3,1,0,5,2,1,2,3, ,They're Loyal,1,1,5
1933,1,36,4,2,0,5,2,1,5,2,1,2,1,0,3,1,0,4,2,0,7,3,1,6,3,1,7,3,1,2,3, ,They're Loyal,0,0,2
1934,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,, , ,1,1,4
1935,1,15,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,4,, , ,1,1,4
1936,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,5
1938,1,32,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,6
1942,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4,, , ,0,0,5
1944,1,40,3,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,0,0,4,, , ,1,0,5
1945,1,45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, ,Nena,0,0,3
1947,1,55,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,6, , ,0,0,4
1949,1,43,8,5,4,6,4,3,7,5,4,6,4,3,5,3,2,5,3,3,7,5,4,6,4,3,5,3,3,2,3, ,By Considering the Future Yelled they give us Money,0,0,5
1950,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,6, , ,0,0,3
1951,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,6
1952,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,0,1,6, , ,1,1,3
1953,1,40,5,3,1,4,3,2,7,5,2,3,1,0,3,1,1,4,2,1,7,5,3,5,2,2,5,2,1,2,2, ,They are Loyal for Customers,0,0,2
1954,1,35,5,2,1,7,4,1,11,7,2,4,1,0,3,1,0,5,2,1,9,5,3,11,7,2,15,9,3,2,2, ,They're Relatively Loyal,1,1,5
1955,1,20,6,2,1,9,4,1,10,4,1,4,1,1,5,2,1,5,1,1,9,3,1,13,7,2,15,7,3,2,2, ,They're Relatively Loyal,1,0,5
1957,1,39,1,2,2,3,1,1,0,2,4,1,2,1,0,0,0,0,0,2,2,1,4,4,3,5,3,2,2,4,, , ,1,1,4
1960,1,30,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,3,0,2,1,0,1,6, , ,0,0,1
1961,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,0,0,5
1962,1,60,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,2,1,0,1,6, , ,1,1,3
1963,1,55,8,4,1,9,5,2,11,6,2,4,1,0,5,2,1,6,2,1,7,3,2,15,8,4,18,12,3,2,2, ,They're Relatively Loyal,1,1,5
1965,1,42,2,1,0,10,6,0,1,0,0,5,2,0,6,3,0,1,0,0,0,0,0,10,8,0,10,5,0,4,, , ,0,0,1
1966,1,28,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6, , ,0,0,2
1967,1,25,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,3
1968,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,6, , ,0,0,3
1969,1,32,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,6, , ,0,0,5
1975,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,2,0,1,6, , ,1,1,5
1976,1,25,4,1,1,6,3,1,7,3,1,3,1,0,4,1,1,4,1,1,9,4,2,8,4,1,10,5,1,2,3, ,They're Relatively Loyal,1,1,5
1978,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6, , ,0,0,4
1980,1,32,4,2,0,5,2,1,7,3,1,3,1,0,4,1,1,5,1,1,9,3,2,10,6,2,15,8,3,2,3, ,They're Relatively Loyal,1,1,6
1991,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,5
1992,1,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,5
1993,1,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,6, , ,0,0,5
1994,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,5
