HH_Id,Group_Memb_Yn,Group_Type,Group_Memb_Self,Group_Funcn_1,Group_Funcn_2_Othr,Group_Funcn_2,Group_Funcn_1_Othr,Group_Funcn_3,Group_Funcn_3_Othr,Group_Join_Yr,Group_Role,Group_Memb_Still,Group_Left_Rsn_1,Group_Left_OthrRsn_1,Group_Left_Rsn_2,Group_Left_OthrRsn_2,Group_Left_Rsn_3,Group_Left_OthrRsn_3
386,1,8,1,5, ,99, ,, ,2007,3,1,, ,, ,, 
386,1,9,0,, ,, ,, ,,,,, ,, ,, 
386,1,10,0,, ,, ,, ,,,,, ,, ,, 
386,1,11,0,, ,, ,, ,,,,, ,, ,, 
386,1,12,0,, ,, ,, ,,,,, ,, ,, 
386,1,13,0,, ,, ,, ,,,,, ,, ,, 
386,1,14,0,, ,, ,, ,,,,, ,, ,, 
388,0,1,0,, ,, ,, ,,,,, ,, ,, 
388,0,2,0,, ,, ,, ,,,,, ,, ,, 
388,0,3,0,, ,, ,, ,,,,, ,, ,, 
388,0,4,0,, ,, ,, ,,,,, ,, ,, 
388,0,5,0,, ,, ,, ,,,,, ,, ,, 
388,0,6,0,, ,, ,, ,,,,, ,, ,, 
388,0,7,0,, ,, ,, ,,,,, ,, ,, 
388,0,8,1,5, ,99, ,, ,2008,3,1,, ,, ,, 
388,0,9,0,, ,, ,, ,,,,, ,, ,, 
388,0,10,1,8, ,99, ,, ,2005,3,1,, ,, ,, 
388,0,11,0,, ,, ,, ,,,,, ,, ,, 
388,0,12,1,6, ,99, ,, ,1983,3,1,, ,, ,, 
388,0,13,0,, ,, ,, ,,,,, ,, ,, 
388,0,14,0,, ,, ,, ,,,,, ,, ,, 
389,0,1,0,, ,, ,, ,,,,, ,, ,, 
389,0,2,0,, ,, ,, ,,,,, ,, ,, 
389,0,3,0,, ,, ,, ,,,,, ,, ,, 
389,0,4,0,, ,, ,, ,,,,, ,, ,, 
389,0,5,0,, ,, ,, ,,,,, ,, ,, 
389,0,6,0,, ,, ,, ,,,,, ,, ,, 
389,0,7,0,, ,, ,, ,,,,, ,, ,, 
389,0,8,0,, ,, ,, ,,,,, ,, ,, 
389,0,9,0,, ,, ,, ,,,,, ,, ,, 
389,0,10,0,, ,, ,, ,,,,, ,, ,, 
389,0,11,0,, ,, ,, ,,,,, ,, ,, 
389,0,12,1,6, ,99, ,, ,1980,3,1,, ,, ,, 
389,0,13,0,, ,, ,, ,,,,, ,, ,, 
389,0,14,0,, ,, ,, ,,,,, ,, ,, 
390,1,1,0,, ,, ,, ,,,,, ,, ,, 
390,1,2,0,, ,, ,, ,,,,, ,, ,, 
390,1,3,0,, ,, ,, ,,,,, ,, ,, 
390,1,4,0,, ,, ,, ,,,,, ,, ,, 
390,1,5,0,, ,, ,, ,,,,, ,, ,, 
390,1,6,0,, ,, ,, ,,,,, ,, ,, 
390,1,7,0,, ,, ,, ,,,,, ,, ,, 
390,1,8,0,, ,, ,, ,,,,, ,, ,, 
390,1,9,0,, ,, ,, ,,,,, ,, ,, 
390,1,10,0,, ,, ,, ,,,,, ,, ,, 
390,1,11,0,, ,, ,, ,,,,, ,, ,, 
390,1,12,0,, ,, ,, ,,,,, ,, ,, 
390,1,13,0,, ,, ,, ,,,,, ,, ,, 
390,1,14,0,, ,, ,, ,,,,, ,, ,, 
391,1,1,0,, ,, ,, ,,,,, ,, ,, 
391,1,2,0,, ,, ,, ,,,,, ,, ,, 
391,1,3,0,, ,, ,, ,,,,, ,, ,, 
391,1,4,0,, ,, ,, ,,,,, ,, ,, 
391,1,5,0,, ,, ,, ,,,,, ,, ,, 
391,1,6,0,, ,, ,, ,,,,, ,, ,, 
391,1,7,1,9, ,99, ,, ,1995,3,1,, ,, ,, 
391,1,8,0,, ,, ,, ,,,,, ,, ,, 
391,1,9,1,6, ,99, ,, ,1985,3,1,, ,, ,, 
391,1,10,0,, ,, ,, ,,,,, ,, ,, 
391,1,11,0,, ,, ,, ,,,,, ,, ,, 
391,1,12,0,, ,, ,, ,,,,, ,, ,, 
391,1,13,0,, ,, ,, ,,,,, ,, ,, 
391,1,14,0,, ,, ,, ,,,,, ,, ,, 
392,0,1,0,, ,, ,, ,,,,, ,, ,, 
392,0,2,0,, ,, ,, ,,,,, ,, ,, 
392,0,3,0,, ,, ,, ,,,,, ,, ,, 
392,0,4,0,, ,, ,, ,,,,, ,, ,, 
392,0,5,0,, ,, ,, ,,,,, ,, ,, 
392,0,6,0,, ,, ,, ,,,,, ,, ,, 
392,0,7,1,9, ,99, ,, ,1995,3,1,, ,, ,, 
392,0,8,0,, ,, ,, ,,,,, ,, ,, 
392,0,9,0,, ,, ,, ,,,,, ,, ,, 
392,0,10,0,, ,, ,, ,,,,, ,, ,, 
392,0,11,0,, ,, ,, ,,,,, ,, ,, 
392,0,12,0,, ,, ,, ,,,,, ,, ,, 
392,0,13,0,, ,, ,, ,,,,, ,, ,, 
392,0,14,0,, ,, ,, ,,,,, ,, ,, 
393,1,1,0,, ,, ,, ,,,,, ,, ,, 
393,1,2,0,, ,, ,, ,,,,, ,, ,, 
393,1,3,0,, ,, ,, ,,,,, ,, ,, 
393,1,4,0,, ,, ,, ,,,,, ,, ,, 
393,1,5,0,, ,, ,, ,,,,, ,, ,, 
393,1,6,0,, ,, ,, ,,,,, ,, ,, 
393,1,7,1,9, ,99, ,, ,1979,3,1,, ,, ,, 
393,1,8,0,, ,, ,, ,,,,, ,, ,, 
393,1,9,0,, ,, ,, ,,,,, ,, ,, 
393,1,10,0,, ,, ,, ,,,,, ,, ,, 
393,1,11,0,, ,, ,, ,,,,, ,, ,, 
393,1,12,0,, ,, ,, ,,,,, ,, ,, 
393,1,13,0,, ,, ,, ,,,,, ,, ,, 
393,1,14,0,, ,, ,, ,,,,, ,, ,, 
394,0,1,0,, ,, ,, ,,,,, ,, ,, 
394,0,2,0,, ,, ,, ,,,,, ,, ,, 
394,0,3,0,, ,, ,, ,,,,, ,, ,, 
394,0,4,0,, ,, ,, ,,,,, ,, ,, 
394,0,5,0,, ,, ,, ,,,,, ,, ,, 
394,0,6,0,, ,, ,, ,,,,, ,, ,, 
394,0,7,1,9, ,99, ,, ,2000,3,1,, ,, ,, 
394,0,8,0,, ,, ,, ,,,,, ,, ,, 
394,0,9,0,, ,, ,, ,,,,, ,, ,, 
394,0,10,0,, ,, ,, ,,,,, ,, ,, 
394,0,11,0,, ,, ,, ,,,,, ,, ,, 
394,0,12,0,, ,, ,, ,,,,, ,, ,, 
394,0,13,0,, ,, ,, ,,,,, ,, ,, 
394,0,14,0,, ,, ,, ,,,,, ,, ,, 
395,1,1,0,, ,, ,, ,,,,, ,, ,, 
395,1,2,0,, ,, ,, ,,,,, ,, ,, 
395,1,3,0,, ,, ,, ,,,,, ,, ,, 
395,1,4,0,, ,, ,, ,,,,, ,, ,, 
395,1,5,0,, ,, ,, ,,,,, ,, ,, 
395,1,6,0,, ,, ,, ,,,,, ,, ,, 
395,1,7,1,9, ,99, ,, ,1987,3,1,, ,, ,, 
395,1,8,0,, ,, ,, ,,,,, ,, ,, 
395,1,9,1,6, ,99, ,, ,1982,3,1,, ,, ,, 
395,1,10,0,, ,, ,, ,,,,, ,, ,, 
395,1,11,0,, ,, ,, ,,,,, ,, ,, 
395,1,12,0,, ,, ,, ,,,,, ,, ,, 
395,1,13,0,, ,, ,, ,,,,, ,, ,, 
395,1,14,0,, ,, ,, ,,,,, ,, ,, 
529,0,1,0,, ,, ,, ,,,,, ,, ,, 
529,0,2,0,, ,, ,, ,,,,, ,, ,, 
529,0,3,0,, ,, ,, ,,,,, ,, ,, 
529,0,4,0,, ,, ,, ,,,,, ,, ,, 
529,0,5,1,7, ,99, ,, ,2008,3,1,, ,, ,, 
529,0,6,0,, ,, ,, ,,,,, ,, ,, 
529,0,7,1,5, ,99, ,, ,2008,3,1,, ,, ,, 
529,0,8,0,, ,, ,, ,,,,, ,, ,, 
529,0,9,0,, ,, ,, ,,,,, ,, ,, 
529,0,10,0,, ,, ,, ,,,,, ,, ,, 
529,0,11,0,, ,, ,, ,,,,, ,, ,, 
529,0,12,1,6, ,99, ,, ,2008,3,1,, ,, ,, 
529,0,13,0,, ,, ,, ,,,,, ,, ,, 
529,0,14,0,, ,, ,, ,,,,, ,, ,, 
531,0,1,0,, ,, ,, ,,,,, ,, ,, 
531,0,2,0,, ,, ,, ,,,,, ,, ,, 
531,0,3,0,, ,, ,, ,,,,, ,, ,, 
531,0,4,0,, ,, ,, ,,,,, ,, ,, 
531,0,5,0,, ,, ,, ,,,,, ,, ,, 
531,0,6,0,, ,, ,, ,,,,, ,, ,, 
531,0,7,1,9, ,99, ,, ,1978,3,1,, ,, ,, 
531,0,8,0,, ,, ,, ,,,,, ,, ,, 
531,0,9,0,, ,, ,, ,,,,, ,, ,, 
531,0,10,0,, ,, ,, ,,,,, ,, ,, 
531,0,11,0,, ,, ,, ,,,,, ,, ,, 
531,0,12,1,5, ,99, ,, ,1977,3,1,, ,, ,, 
531,0,13,0,, ,, ,, ,,,,, ,, ,, 
531,0,14,0,, ,, ,, ,,,,, ,, ,, 
532,0,1,0,, ,, ,, ,,,,, ,, ,, 
532,0,2,0,, ,, ,, ,,,,, ,, ,, 
532,0,3,0,, ,, ,, ,,,,, ,, ,, 
532,0,4,0,, ,, ,, ,,,,, ,, ,, 
532,0,5,0,, ,, ,, ,,,,, ,, ,, 
532,0,6,0,, ,, ,, ,,,,, ,, ,, 
532,0,7,1,9, ,99, ,, ,2002,3,1,, ,, ,, 
532,0,8,0,, ,, ,, ,,,,, ,, ,, 
532,0,9,0,, ,, ,, ,,,,, ,, ,, 
532,0,10,0,, ,, ,, ,,,,, ,, ,, 
532,0,11,0,, ,, ,, ,,,,, ,, ,, 
532,0,12,1,6, ,99, ,, ,2004,3,1,, ,, ,, 
532,0,13,0,, ,, ,, ,,,,, ,, ,, 
532,0,14,0,, ,, ,, ,,,,, ,, ,, 
533,1,1,1,2, ,11,suger and oil,99, ,2011,3,1,, ,, ,, 
533,1,2,0,, ,, ,, ,,,,, ,, ,, 
533,1,3,0,, ,, ,, ,,,,, ,, ,, 
533,1,4,0,, ,, ,, ,,,,, ,, ,, 
533,1,5,0,, ,, ,, ,,,,, ,, ,, 
533,1,6,0,, ,, ,, ,,,,, ,, ,, 
533,1,7,1,9, ,99, ,, ,1998,3,1,, ,, ,, 
533,1,8,0,, ,, ,, ,,,,, ,, ,, 
533,1,9,0,, ,, ,, ,,,,, ,, ,, 
533,1,10,0,, ,, ,, ,,,,, ,, ,, 
533,1,11,0,, ,, ,, ,,,,, ,, ,, 
533,1,12,1,6, ,99, ,, ,2013,3,1,, ,, ,, 
533,1,13,0,, ,, ,, ,,,,, ,, ,, 
533,1,14,0,, ,, ,, ,,,,, ,, ,, 
535,1,1,0,, ,, ,, ,,,,, ,, ,, 
535,1,2,0,, ,, ,, ,,,,, ,, ,, 
535,1,3,0,, ,, ,, ,,,,, ,, ,, 
535,1,4,0,, ,, ,, ,,,,, ,, ,, 
535,1,5,0,, ,, ,, ,,,,, ,, ,, 
535,1,6,0,, ,, ,, ,,,,, ,, ,, 
535,1,7,1,9, ,99, ,, ,2003,3,1,, ,, ,, 
535,1,8,1,5, ,99, ,, ,2012,3,1,, ,, ,, 
535,1,9,0,, ,, ,, ,,,,, ,, ,, 
535,1,10,0,, ,, ,, ,,,,, ,, ,, 
535,1,11,0,, ,, ,, ,,,,, ,, ,, 
535,1,12,1,6, ,99, ,, ,1989,3,1,, ,, ,, 
535,1,13,0,, ,, ,, ,,,,, ,, ,, 
535,1,14,0,, ,, ,, ,,,,, ,, ,, 
536,1,1,0,, ,, ,, ,,,,, ,, ,, 
536,1,2,0,, ,, ,, ,,,,, ,, ,, 
536,1,3,0,, ,, ,, ,,,,, ,, ,, 
536,1,4,0,, ,, ,, ,,,,, ,, ,, 
536,1,5,0,, ,, ,, ,,,,, ,, ,, 
536,1,6,0,, ,, ,, ,,,,, ,, ,, 
536,1,7,1,9, ,99, ,, ,1998,3,1,, ,, ,, 
536,1,8,1,5, ,99, ,, ,2007,3,1,, ,, ,, 
536,1,9,0,, ,, ,, ,,,,, ,, ,, 
536,1,10,0,, ,, ,, ,,,,, ,, ,, 
536,1,11,0,, ,, ,, ,,,,, ,, ,, 
536,1,12,1,5, ,99, ,, ,2000,3,1,, ,, ,, 
536,1,13,0,, ,, ,, ,,,,, ,, ,, 
536,1,14,0,, ,, ,, ,,,,, ,, ,, 
537,0,1,0,, ,, ,, ,,,,, ,, ,, 
537,0,2,0,, ,, ,, ,,,,, ,, ,, 
537,0,3,0,, ,, ,, ,,,,, ,, ,, 
537,0,4,0,, ,, ,, ,,,,, ,, ,, 
537,0,5,1,6, ,99, ,, ,2007,3,1,, ,, ,, 
537,0,6,0,, ,, ,, ,,,,, ,, ,, 
537,0,7,0,, ,, ,, ,,,,, ,, ,, 
537,0,8,0,, ,, ,, ,,,,, ,, ,, 
537,0,9,0,, ,, ,, ,,,,, ,, ,, 
537,0,10,0,, ,, ,, ,,,,, ,, ,, 
537,0,11,0,, ,, ,, ,,,,, ,, ,, 
537,0,12,0,, ,, ,, ,,,,, ,, ,, 
537,0,13,0,, ,, ,, ,,,,, ,, ,, 
537,0,14,0,, ,, ,, ,,,,, ,, ,, 
538,1,1,0,, ,, ,, ,,,,, ,, ,, 
538,1,2,0,, ,, ,, ,,,,, ,, ,, 
538,1,3,0,, ,, ,, ,,,,, ,, ,, 
538,1,4,0,, ,, ,, ,,,,, ,, ,, 
538,1,5,0,, ,, ,, ,,,,, ,, ,, 
538,1,6,0,, ,, ,, ,,,,, ,, ,, 
538,1,7,1,9, ,5, ,99, ,2009,3,1,, ,, ,, 
538,1,8,0,, ,, ,, ,,,,, ,, ,, 
538,1,9,0,, ,, ,, ,,,,, ,, ,, 
538,1,10,0,, ,, ,, ,,,,, ,, ,, 
538,1,11,0,, ,, ,, ,,,,, ,, ,, 
538,1,12,0,, ,, ,, ,,,,, ,, ,, 
538,1,13,0,, ,, ,, ,,,,, ,, ,, 
538,1,14,0,, ,, ,, ,,,,, ,, ,, 
539,0,1,0,, ,, ,, ,,,,, ,, ,, 
539,0,2,0,, ,, ,, ,,,,, ,, ,, 
539,0,3,0,, ,, ,, ,,,,, ,, ,, 
539,0,4,0,, ,, ,, ,,,,, ,, ,, 
539,0,5,0,, ,, ,, ,,,,, ,, ,, 
539,0,6,0,, ,, ,, ,,,,, ,, ,, 
539,0,7,0,, ,, ,, ,,,,, ,, ,, 
539,0,8,0,, ,, ,, ,,,,, ,, ,, 
539,0,9,0,, ,, ,, ,,,,, ,, ,, 
539,0,10,0,, ,, ,, ,,,,, ,, ,, 
539,0,11,0,, ,, ,, ,,,,, ,, ,, 
539,0,12,0,, ,, ,, ,,,,, ,, ,, 
539,0,13,0,, ,, ,, ,,,,, ,, ,, 
539,0,14,0,, ,, ,, ,,,,, ,, ,, 
561,1,1,0,, ,, ,, ,,,,, ,, ,, 
561,1,2,0,, ,, ,, ,,,,, ,, ,, 
561,1,3,0,, ,, ,, ,,,,, ,, ,, 
561,1,4,0,, ,, ,, ,,,,, ,, ,, 
561,1,5,0,, ,, ,, ,,,,, ,, ,, 
561,1,6,0,, ,, ,, ,,,,, ,, ,, 
561,1,7,1,9, ,99, ,, ,1978,3,1,, ,, ,, 
561,1,8,0,, ,, ,, ,,,,, ,, ,, 
561,1,9,0,, ,, ,, ,,,,, ,, ,, 
561,1,10,0,, ,, ,, ,,,,, ,, ,, 
561,1,11,1,11,WATER USE,99, ,, ,2002,3,1,, ,, ,, 
561,1,12,1,4, ,99, ,, ,1985,3,1,, ,, ,, 
561,1,13,1,5, ,99, ,, ,1985,3,1,, ,, ,, 
561,1,14,0,, ,, ,, ,,,,, ,, ,, 
563,1,1,0,, ,, ,, ,,,,, ,, ,, 
563,1,2,0,, ,, ,, ,,,,, ,, ,, 
563,1,3,0,, ,, ,, ,,,,, ,, ,, 
563,1,4,0,, ,, ,, ,,,,, ,, ,, 
563,1,5,0,, ,, ,, ,,,,, ,, ,, 
563,1,6,0,, ,, ,, ,,,,, ,, ,, 
563,1,7,0,, ,, ,, ,,,,, ,, ,, 
563,1,8,0,, ,, ,, ,,,,, ,, ,, 
563,1,9,0,, ,, ,, ,,,,, ,, ,, 
563,1,10,0,, ,, ,, ,,,,, ,, ,, 
563,1,11,0,, ,, ,, ,,,,, ,, ,, 
563,1,12,1,6, ,99, ,, ,1990,3,1,, ,, ,, 
563,1,13,0,, ,, ,, ,,,,, ,, ,, 
563,1,14,0,, ,, ,, ,,,,, ,, ,, 
564,1,1,0,, ,, ,, ,,,,, ,, ,, 
564,1,2,0,, ,, ,, ,,,,, ,, ,, 
564,1,3,0,, ,, ,, ,,,,, ,, ,, 
564,1,4,0,, ,, ,, ,,,,, ,, ,, 
564,1,5,0,, ,, ,, ,,,,, ,, ,, 
564,1,6,0,, ,, ,, ,,,,, ,, ,, 
564,1,7,0,, ,, ,, ,,,,, ,, ,, 
564,1,8,0,, ,, ,, ,,,,, ,, ,, 
