HH_Id,Food_Insec_Intro_M,HH_Own_Wheat_Supp_M,HH_Own_Wheat_Supp_M,NoFood_Yn_M,NoFood_Period_M,NoFood_CovidEff_M,NoHealthy_Food_Yn_M,NoHealthy_Food_Period_M,NoHealthy_Food_CovidEff_M,FewFood_Yn_M,FewFood_Period_M,FewFood_CovidEff_M,SkipMeal_Yn_M,SkipMeal_Period_M,SkipMeal_CovidEff_M,AteLess_Yn_M,AteLess_Period_M,AteLess_CovidEff_M,RanOutFood_Yn_M,RanOutFood_Period_M,RanOutFood_CovidEff_M,HungryNoEat_Yn_M,HungryNoEat_Period_M,HungryNoEat_CovidEff_M,NoEat_WholeDay_Yn_M,NoEat_WholeDay_Period_M
395,1,4,0,,,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
529,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
531,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
532,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
533,1,1,1,1,0,1,4,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,
536,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
537,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
538,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
539,1,3,1,3,0,1,3,0,0,,,0,,,0,,,0,,,0,,,0,,
561,1,3,1,1,0,1,1,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,
563,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
564,1,3,1,1,0,1,1,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,
565,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
567,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
568,1,4,0,,,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
569,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
570,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
571,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
572,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
573,1,5,1,1,0,1,4,0,0,,,0,,,0,,,0,,,0,,,0,,
574,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
575,1,5,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
576,1,3,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
943,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
944,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
945,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
946,1,5,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
948,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
949,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
951,1,3,0,,,1,1,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
952,1,4,1,1,0,1,5,0,0,,,0,,,0,,,0,,,0,,,0,,
956,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
957,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
958,1,2,1,2,0,1,2,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
959,1,1,1,3,0,1,3,0,1,3,0,1,2,0,1,1,0,0,,,0,,,0,,
960,1,2,1,5,0,1,5,0,1,3,0,0,,,0,,,0,,,0,,,0,,
961,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
962,1,3,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
963,1,3,1,2,0,1,2,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
964,1,3,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
965,1,1,1,2,1,1,2,0,1,2,0,1,1,0,1,3,0,1,1,0,0,,,0,,
967,1,2,0,,,1,5,0,0,,,0,,,0,,,0,,,0,,,0,,
968,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
969,1,3,1,2,0,1,1,0,1,2,0,1,2,0,1,1,0,0,,,0,,,0,,
971,1,2,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
973,1,3,1,1,0,1,5,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1047,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1048,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1049,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
1050,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1051,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1052,1,5,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
1055,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1056,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,1,4,0,,,1,2,0,1,3,0,0,,,0,,,0,,,0,,,0,,
1058,1,5,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1059,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1060,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1117,1,4,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,1,3,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1121,1,2,1,1,0,0,,,1,2,0,1,2,0,1,1,0,1,1,0,0,,,0,,
1122,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1124,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1131,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1344,1,4,0,,,0,,,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1346,1,5,0,,,1,5,0,0,,,0,,,0,,,0,,,0,,,0,,
1347,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,1,3,1,3,0,1,2,0,1,3,0,0,,,0,,,0,,,0,,,0,,
1350,1,1,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1352,1,4,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1354,1,3,1,2,0,1,2,0,1,2,0,1,3,0,1,1,0,1,1,0,1,1,0,0,,
1356,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1357,1,2,1,2,0,1,2,0,1,3,0,0,,,0,,,0,,,0,,,0,,
1358,1,4,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1359,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1379,1,3,1,1,1,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1380,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1381,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1383,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1385,1,3,1,1,0,0,,,1,2,0,1,2,0,1,1,0,1,1,0,0,,,0,,
1386,1,4,0,,,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,
1387,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1388,1,3,1,2,0,0,,,0,,,0,,,1,1,0,0,,,0,,,0,,
1390,1,3,1,1,0,1,1,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,
1391,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,1,2,1,2,0,1,5,0,1,2,0,0,,,1,2,0,1,2,0,0,,,0,,
1394,1,4,1,1,0,1,4,0,1,3,0,0,,,0,,,1,1,0,0,,,0,,
1396,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1397,1,3,1,3,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1398,1,4,1,2,0,1,1,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,
1399,1,4,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1400,1,3,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1502,1,3,0,,,1,2,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1504,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,1,3,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1506,1,4,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1507,1,3,1,1,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1508,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1509,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1559,1,5,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1561,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1562,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1563,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1895,1,5,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1897,1,4,1,1,0,1,1,0,1,2,0,1,2,0,1,1,0,1,1,0,0,,,0,,
1899,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1923,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1925,1,1,1,2,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,
1926,1,2,1,1,0,0,,,0,,,1,1,0,1,1,0,0,,,0,,,0,,
1930,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1931,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1932,1,4,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1933,1,4,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1934,1,4,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1935,1,4,1,1,0,0,,,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1936,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1945,1,3,0,,,0,,,0,,,0,,,0,,,1,2,0,1,1,0,1,2,0
1947,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1949,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1950,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1951,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1952,1,2,1,1,0,1,5,0,1,2,0,0,,,1,2,0,0,,,0,,,0,,
1953,1,3,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1954,1,4,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1955,1,3,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1957,1,3,1,1,0,1,1,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,
1960,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1961,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1962,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1963,1,3,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1968,1,3,1,1,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1969,1,4,0,,,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,1,3,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1978,1,4,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1980,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1991,1,2,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1992,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1993,1,2,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1994,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1995,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1996,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1997,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1999,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2000,1,4,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
2020,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2021,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2023,1,3,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
2025,1,4,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
2026,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
2027,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2031,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2032,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2033,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2085,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2086,1,4,1,1,0,0,,,1,1,0,1,2,0,0,,,0,,,0,,,0,,
2088,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2089,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2093,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2094,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2096,1,4,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
2097,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2098,1,3,1,1,0,0,,,0,,,1,1,0,1,1,0,1,1,0,0,,,0,,
2099,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4001,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,1,3,1,1,0,1,2,0,1,3,0,1,1,0,1,2,0,1,1,0,0,,,0,,
4003,1,4,0,,,0,,,1,4,0,0,,,0,,,0,,,0,,,0,,
4004,1,4,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
4005,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4006,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4007,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4008,1,2,1,1,0,1,2,0,1,2,0,1,2,0,1,2,0,1,1,0,0,,,0,,
4009,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4010,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4011,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4012,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4013,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4014,1,3,1,1,0,0,,,1,2,0,1,2,0,0,,,0,,,0,,,0,,
4015,1,3,1,1,0,1,1,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,
4016,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4017,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4018,1,4,1,1,0,1,1,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,
4019,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4020,1,5,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
4021,,,,,,,,,,,,,,,,,,,,,,,,,,
4022,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4023,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4024,1,4,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
4025,1,4,1,1,0,0,,,1,2,0,1,1,0,0,,,0,,,0,,,0,,
4026,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,1,3,0,,,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
4028,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4029,1,3,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
4030,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4031,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4032,1,4,1,1,0,0,,,1,2,0,1,2,0,0,,,0,,,0,,,0,,
4033,1,3,0,,,1,1,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,
4034,1,1,0,,,1,5,0,0,,,0,,,0,,,0,,,0,,,0,,
4035,1,2,1,3,0,1,2,1,1,2,0,0,,,0,,,0,,,0,,,0,,
4036,,,,,,,,,,,,,,,,,,,,,,,,,,
4037,1,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
4038,,,,,,,,,,,,,,,,,,,,,,,,,,
4039,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4040,1,3,1,3,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
4041,1,3,1,1,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,
4042,1,4,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
4043,1,3,1,1,0,0,,,1,1,1,1,1,0,0,,,0,,,0,,,0,,
4044,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4045,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4046,1,4,0,,,1,5,0,0,,,0,,,0,,,0,,,0,,,0,,
4047,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4048,1,3,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
98,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
99,1,4,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
100,1,2,0,,,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,
101,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
102,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
103,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
260,1,4,1,1,1,1,1,1,1,1,1,0,,,1,1,1,1,1,0,0,,,0,,
261,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1,4,1,1,1,1,1,1,1,1,1,0,,,1,1,1,1,1,1,1,1,1,0,,
264,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
266,1,2,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
267,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
269,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
270,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
271,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
272,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
273,1,3,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
275,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
276,1,4,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
279,1,2,0,,,1,1,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
280,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
281,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
282,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
283,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
285,1,2,1,2,0,1,2,0,1,2,0,0,,,1,2,0,0,,,0,,,0,,
286,1,3,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
290,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
292,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
293,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
295,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
296,1,3,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
297,1,3,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
299,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
301,1,4,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,
302,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1,5,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
305,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
307,1,2,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
308,1,1,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,
309,1,1,1,1,0,0,,,1,2,0,0,,,1,2,0,0,,,0,,,0,,
310,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
311,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,
491,1,4,1,1,0,1,1,0,1,2,0,0,,,0,,,1,2,0,0,,,0,,
492,1,4,1,1,0,1,1,0,0,,,0,,,1,1,0,1,1,0,0,,,0,,
493,1,5,1,1,0,0,,,0,,,0,,,1,1,0,0,,,0,,,0,,
494,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
518,1,4,1,1,0,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,
521,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
522,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,98,,
523,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
577,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
580,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
581,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
583,1,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
584,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
585,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
586,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
587,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
588,1,2,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
589,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
590,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
591,1,1,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
718,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
719,1,4,1,1,0,1,1,0,1,1,0,1,2,0,1,2,0,1,1,0,0,,,0,,
720,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
721,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
722,1,4,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
723,1,1,1,1,0,1,1,0,1,1,0,0,,,1,1,0,1,1,0,0,,,0,,
724,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
725,1,1,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
726,1,4,1,1,98,1,2,98,0,,,0,,,1,1,0,1,1,98,0,,,0,,
727,1,1,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
728,1,4,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
729,1,3,1,2,0,1,1,0,1,2,0,0,,,0,,,0,,,0,,,0,,
801,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
802,,,,,,,,,,,,,,,,,,,,,,,,,,
