HH_Id,SocioEconomic_Intro,Module_Resp,Next_Season_Plan,Wheat_Area_Change ,WArea_Change_CovidEff,Wheat_Replace_Crop,Wheat_Replace_OthrCrop,Wheat_ReplaceBy_Crop,Wheat_ReplaceBy_OthrCrop,Wheat_Cult_NextSeason_Yn,Wheat_Area_Change_Rsn ,Wheat_Area_Change_OthrRsn ,WheatSeed_Qnt_Change,Increse_Input_Yn,Increse_Input_Rsn,Increse_Input_OthrRsn,Wheat_Constraints,WConstraints_SeedAvlblty,WConstraints_SeedPrice,WConstraints_SeedQlty,WConstraints_SeedCredit,WConstraints_FertAvlblty,WConstraints_FertPrice,WConstraints_FertCredit,WConstraints_QltyChemFert,WConstraints_HumanLabour,WConstraints_WageRate,WConstraints_SkilledLabour,WConstraints_AvlbltyChemHerb,WConstraints_HerbicidePrice,WConstraints_HerbicideCredit,WConstraints_QltyHerbicide,WConstraints_OutputMrkt,WConstraints_AccessInfo,WConstraints_GrainPrice,WConstraints_AvlbltyFamLab,WConstraints_Drought,WConstraints_Flood,WConstraints_Heat,WConstraints_Pest,WConstraints_Disease,WConstraints_SoilFert,WConstraint_Rank,WConstraint_Rank1,WConstraint_Rank2,WConstraint_Rank3
383,1,2,1,2,0,, ,19, ,1,1, ,1,,1, ,ABF,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
385,1,2,1,4,,, ,, ,,, ,2,,, ,BCDE,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C, , 
386,1,2,1,3,,, ,, ,,, ,1,,1, ,ABFMXY,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,AFY,A,F,Y
388,1,2,1,2,0,, ,3, ,1,99,crop rotation,1,,99,no caltivation of wheet,CDFH,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DFH,D,F,H
389,1,2,1,3,,, ,, ,,, ,2,,, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
390,1,2,1,3,,, ,, ,,, ,0,0,, ,BEFGH,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGH,B,G,H
391,1,2,1,3,,, ,, ,,, ,1,,2, ,B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B, , 
392,1,2,1,3,,, ,, ,,, ,0,1,, ,CEF,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CEF,C,E,F
393,1,2,1,3,,, ,, ,,, ,1,,1, ,AEFMY,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,FMY,F,M,Y
394,1,2,1,3,,, ,, ,,, ,1,,6, ,ABFT,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ABF,A,B,F
395,1,2,1,3,,, ,, ,,, ,2,,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
529,1,2,1,3,,, ,, ,,, ,1,,6, ,ABEFI,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
531,1,2,1,3,,, ,, ,,, ,1,,8, ,ABEFWXY,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,AFY,A,F,Y
532,1,2,1,3,,, ,, ,,, ,0,0,, ,ABC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
533,1,2,1,2,0,, ,99,barley,1,1, ,1,,1, ,ABEFX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ABF,A,B,F
535,1,1,1,3,,, ,, ,,, ,0,1,, ,BFX,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
536,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCEFMXY,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,EFY,E,F,Y
537,1,2,1,2,0,, ,6, ,0,1, ,0,0,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,D,E,F
538,1,2,1,1,0,99,Barely,, ,,13, ,0,0,, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
539,1,2,1,2,0,, ,5, ,1,1, ,0,1,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADE,A,D,E
561,1,2,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,E,E, , 
563,1,2,1,2,0,, ,19, ,0,13, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
564,1,2,1,3,,, ,, ,,, ,0,1,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
565,1,2,1,2,0,, ,5, ,1,1, ,2,,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CDE,C,D,E
567,1,2,1,3,,, ,, ,,, ,1,,4, ,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
568,1,2,1,4,,, ,, ,,, ,2,,, ,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
569,1,2,1,1,0,99,BARLY,, ,,1, ,0,0,, ,ABCLV,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,ABC,A,B,C
570,1,2,1,2,0,, ,5, ,0,1, ,0,0,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CDE,C,D,E
571,1,2,1,1,0,19, ,, ,,2, ,1,,2, ,ABEFX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BEX,B,E,X
572,1,2,1,1,0,5, ,, ,,6, ,1,,6, ,EFG,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
573,1,2,1,1,0,99,barley,, ,,99,crop rotation,1,,13, ,ABEFX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BEF,B,E,F
574,1,2,1,1,0,99,BARELY,, ,,1, ,1,,10, ,ABCEFMVWXY,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,FXY,F,X,Y
575,1,1,1,1,0,19, ,, ,,1, ,1,,10, ,ABEFMWXY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,FMY,F,M,Y
576,1,1,1,1,0,19, ,, ,,1, ,1,,13, ,ABCEFOWXY,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,FXY,F,X,Y
943,1,2,1,3,,, ,, ,,, ,1,,1, ,ABEFH,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
944,1,2,1,3,,, ,, ,,, ,1,,1, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCD,B,C,D
945,1,2,1,3,,, ,, ,,, ,0,1,, ,ABCDEFG,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BDE,B,D,E
946,1,2,1,1,0,5, ,, ,,8, ,1,,13, ,ABCEFLMXY,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,AFX,A,F,X
948,1,2,1,3,,, ,, ,,, ,0,0,, ,ABFGY,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BFG,B,F,G
949,1,2,1,3,,, ,, ,,, ,0,0,, ,EVX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,X,X, , 
951,1,2,1,3,,, ,, ,,, ,1,,1, ,ABDEF,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
952,1,2,1,3,,, ,, ,,, ,0,0,, ,AFX,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,AFX,A,F,X
956,1,2,1,1,0,99,hircot bean,, ,,2, ,1,,2, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EFX,E,F,X
957,1,2,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
958,1,2,1,3,,, ,, ,,, ,1,,1, ,ACDE,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACD,A,C,D
959,1,2,1,2,0,, ,0, ,0,1, ,0,0,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADF,A,D,F
960,1,2,1,3,,, ,, ,,, ,0,0,, ,BCFX,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CFX,C,F,X
961,1,2,1,1,0,0, ,, ,,2, ,0,1,, ,ABCDEFGHI,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCE,B,C,E
962,1,2,1,3,,, ,, ,,, ,1,,8, ,ABEFY,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
963,1,2,1,1,0,2, ,, ,,1, ,1,,1, ,ABG,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G
964,1,2,1,3,,, ,, ,,, ,0,1,, ,BFX,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,F,F, , 
965,1,2,1,1,0,99,Barely,, ,,13, ,0,0,, ,EFGIX,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EFG,E,F,G
967,1,2,1,1,0,99,barley,, ,,99,crop rotation,1,,2, ,CEFX,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CEX,C,E,X
968,1,2,1,3,,, ,, ,,, ,1,,8, ,ABCEFY,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
969,1,2,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F, , 
971,1,2,1,1,0,5, ,, ,,13, ,0,0,, ,BEFGY,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
973,1,2,1,3,,, ,, ,,, ,0,0,, ,EFGLM,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1047,1,2,1,3,,, ,, ,,, ,1,,1, ,EFG,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1048,1,2,1,1,0,19, ,, ,,2, ,1,,2, ,LMX,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LMX,L,M,X
1049,1,2,1,3,,, ,, ,,, ,0,0,, ,CEF,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1050,1,2,1,2,0,, ,19, ,1,1, ,0,1,, ,AFTX,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,AFT,A,F,T
1051,1,2,1,3,,, ,, ,,, ,0,1,, ,ABDEFG,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BFG,B,F,G
1052,1,2,1,2,0,, ,19, ,1,1, ,1,,1, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
1055,1,2,1,2,0,, ,19, ,0,1, ,1,,1, ,AEFLM,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AEL,A,E,L
1056,1,1,1,3,,, ,, ,,, ,0,0,, ,ABDEFLMY,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,BDF,B,D,F
1057,1,2,1,3,,, ,, ,,, ,1,,1, ,ABEGL,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1058,1,2,1,1,0,19, ,, ,,10, ,1,,13, ,ABEFLM,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BEM,B,E,M
1059,1,2,1,1,0,19, ,, ,,11, ,0,1,, ,ABCEFGY,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BCF,B,C,F
1060,1,2,1,1,0,19, ,, ,,1, ,0,1,, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
1117,1,2,1,1,0,19, ,, ,,1, ,1,,13, ,ABEFLMY,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,AFY,A,F,Y
1118,1,1,1,3,,, ,, ,,, ,1,,1, ,ABEY,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ABY,A,B,Y
1120,1,2,1,1,0,19, ,, ,,1, ,1,,10, ,ABEFM,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EFM,E,F,M
1121,1,2,1,3,,, ,, ,,, ,0,0,, ,EFR,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,F,F, , 
1122,1,2,1,3,,, ,, ,,, ,0,1,, ,ABCEFG,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1124,1,1,1,2,0,, ,19, ,1,1, ,1,,1, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1127,1,2,1,2,0,, ,19, ,1,1, ,0,1,, ,ABCDEFG,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1131,1,2,1,3,,, ,, ,,, ,0,0,, ,ABEFWX,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,AEF,A,E,F
1344,1,2,1,3,,, ,, ,,, ,0,1,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1346,1,2,1,1,0,99,barley,, ,,2, ,1,,2, ,BEFX,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EFX,E,F,X
1347,1,1,1,3,,, ,, ,,, ,1,,1, ,AEGJS,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AES,A,E,S
1349,1,2,1,1,0,0, ,, ,,2, ,0,1,, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1350,1,2,1,1,0,19, ,, ,,13, ,0,0,, ,AEFLY,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AFY,A,F,Y
1352,1,2,1,3,,, ,, ,,, ,1,,1, ,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1354,1,2,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1356,1,2,1,1,0,99,BARELY,, ,,13, ,1,,8, ,ABCEFOY,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,AFY,A,F,Y
1357,1,2,1,3,,, ,, ,,, ,0,1,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CDE,C,D,E
1358,1,2,1,1,0,2, ,, ,,1, ,1,,1, ,ABEG,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1359,1,2,1,2,0,, ,99,barley,1,99,crop rotation,1,,99,crop rotation,AFX,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,AFX,A,F,X
1379,1,2,1,3,,, ,, ,,, ,0,1,, ,ABCE,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
1380,1,2,1,3,,, ,, ,,, ,0,0,, ,ABCDEFG,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CDE,C,D,E
1381,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCDEFG,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
1382,1,2,1,1,0,5, ,, ,,13, ,1,,8, ,ABCEFLMWX,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,FMX,F,M,X
1383,1,2,1,1,0,2, ,, ,,4, ,1,,1, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABF,A,B,F
1385,1,2,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1386,1,2,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1387,1,2,1,1,0,5, ,, ,,13, ,1,,8, ,ABCEFLMWX,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,AFW,A,F,W
1388,1,2,1,3,,, ,, ,,, ,0,0,, ,EFWX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FWX,F,W,X
1390,1,2,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
1391,1,1,1,1,0,2, ,, ,,1, ,1,,1, ,ABEFG,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
1393,1,2,1,3,,, ,, ,,, ,0,0,, ,ABEFMX,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BFX,B,F,X
1394,1,2,1,2,0,, ,19, ,1,1, ,1,,1, ,ABDEF,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1396,1,2,1,1,0,19, ,, ,,2, ,1,,2, ,ABEFM,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1397,1,2,1,2,0,, ,19, ,1,1, ,0,1,, ,ABCEFG,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1398,1,2,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1399,1,2,1,1,0,19, ,, ,,1, ,1,,13, ,ABEFLMXY,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,AFY,A,F,Y
1400,1,2,1,1,0,19, ,, ,,10, ,1,,13, ,BEFNOY,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,BEF,B,E,F
1502,1,2,1,3,,, ,, ,,, ,1,,1, ,ABE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1504,1,1,1,3,,, ,, ,,, ,0,1,, ,ABCEFG,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
1505,1,2,1,1,0,19, ,, ,,13, ,1,,10, ,ABEFMXY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,AFM,A,F,M
1506,1,2,1,1,0,19, ,, ,,1, ,1,,8, ,ABEFMXY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,ABY,A,B,Y
1507,1,2,1,3,,, ,, ,,, ,0,0,, ,ABEGHY,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ABY,A,B,Y
1508,1,2,1,2,0,, ,19, ,1,1, ,2,,, ,EFGH,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFG,E,F,G
1509,1,2,1,3,,, ,, ,,, ,0,0,, ,ADEFLM,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
1559,1,2,1,1,0,19, ,, ,,13, ,1,,13, ,ABEFLMXY,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,AFL,A,F,L
1561,1,2,1,1,0,19, ,, ,,13, ,1,,6, ,ABDEFMOXY,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,DEY,D,E,Y
1562,1,2,1,1,0,19, ,, ,,1, ,1,,6, ,BDEFH,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DFH,D,F,H
1563,1,2,1,2,0,, ,99,haircot bean,0,99,crop rotation,1,,99,crop rotation,ABCEFJ,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
1895,1,2,1,1,0,19, ,, ,,2, ,1,,2, ,ABEF,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
1897,1,2,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
1899,1,2,1,3,,, ,, ,,, ,0,1,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
1923,1,2,1,4,,, ,, ,,, ,2,,, ,BCEF,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCE,B,C,E
1925,1,2,1,4,,, ,, ,,, ,0,0,, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
